Code,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2107,C210703,C210708,C210709,C210710,C210711,C210712,C210713,C210716,C210717,C210718,C210719,C210720,C210721,C210722,C210723,C210724,C210725,C2110,C2111,C2112,C2207,C220703,C220708,C220709,C220710,C220711,C220712,C220713,C220716,C220717,C220718,C220719,C220720,C220721,C220722,C220723,C220724,C220725,C2210,C2211,C2212,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E4101,E4501,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
R07483,ïüìáåß,î∑í¨,9157,4499,4658,9097,4489,4608,1022,549,473,5027,2592,2435,3105,1356,1749,1901,731,1170,60,47,144,194,243,3043,3029,8841,1482,656,779,365,339,24,5,21141,3966,565,10,76,67,1,2,15,156,5,29,8,54,55,20,29,9,21,8,10,143,412,4039,128,423,1004,9,17,182,652,25,43,16,210,123,176,701,47,144,139,128,1427,2484,93,7.5,7558216,907820,7162297,1048962,563167,1076275,100411,3,131,3,40,419,1,23,217,1,183,16,1,9392,411,136,38,0,2,4,4,21,7,13,1,77
R07484,ïüìáåß,éLêÏë∫,3577,1788,1789,3570,1788,1782,434,211,223,1925,1032,893,1218,545,673,761,299,462,7,19,69,51,134,1064,1061,3522,455,175,258,129,100,16,6,13134,3093,170,7,41,17,1,0,3,36,0,1,4,11,10,11,9,2,10,7,7,58,105,1026,38,196,282,9,0,22,124,0,3,8,36,18,76,97,21,21,75,38,478,510,78.9,5,4011585,273895,3853955,806179,328241,324230,76371,1,27,2,19,181,1,11,102,1,52,1,1,3793,328,33,5,0,0,2,1,1,1,0,1,103
R07501,ïüìáåß,êŒêÏí¨,15880,7792,8088,15814,7781,8033,1741,895,846,8919,4638,4281,5206,2247,2959,2878,1060,1818,66,79,242,336,472,5244,5228,15416,2525,1132,1343,588,501,53,16,11571,5648,947,10,107,119,3,4,12,247,10,30,21,98,109,30,63,14,59,10,10,227,710,6518,68,533,1543,8,22,167,1273,124,66,79,551,356,406,586,241,287,192,68,2092,4358,79.9,7,9206159,1662632,8165044,1934153,588235,1803044,58329,0,0,3,55,715,2,30,485,2,1093,1,0,16332,955,215,63,2,0,10,8,12,17,21,4,301
R07502,ïüìáåß,ã êÏë∫,6777,3374,3403,6718,3353,3365,894,456,438,4049,2095,1954,1819,812,1007,1001,366,635,51,51,96,166,155,1974,1971,6714,944,315,406,142,111,26,5,4667,2547,353,6,70,48,1,1,13,67,2,9,5,23,25,17,23,4,26,13,6,118,229,2887,38,313,1139,2,45,135,357,44,61,16,78,71,103,179,24,177,105,38,1452,1397,81.1,9.2,5439236,738788,5126178,1177992,120028,1560769,4073,0,0,2,30,393,2,23,198,0,0,2,0,6982,1550,57,13,0,0,4,2,2,2,9,1,61
R07503,ïüìáåß,ïΩìcë∫,6505,3197,3308,6407,3158,3249,752,382,370,3822,2037,1785,1930,778,1152,1175,382,793,94,25,118,132,182,1989,1984,6230,895,404,445,141,140,28,14,9342,3502,276,6,53,42,3,1,2,59,2,5,4,25,27,10,14,5,12,6,6,95,175,2205,61,432,626,7,3,8,246,4,18,15,76,65,94,378,32,40,100,61,1058,1086,83,10.1,6405853,604213,5996409,847746,271341,2013836,0,0,0,2,27,299,1,15,170,1,50,1,0,6583,598,56,16,0,1,2,3,6,3,6,2,172
R07504,ïüìáåß,êÛêÏí¨,6577,3308,3269,6548,3299,3249,885,483,402,3752,1977,1775,1940,848,1092,1078,392,686,29,31,81,129,233,2055,2050,6466,994,418,470,208,191,13,9,3743,2168,336,2,44,76,0,0,8,64,4,7,6,28,38,13,22,4,14,6,2,120,214,2267,30,153,1120,0,0,78,252,21,8,13,79,64,88,204,37,36,84,30,1273,964,81.8,9.8,3496299,668507,3282373,846132,371433,293052,20886,1,100,3,35,354,1,17,221,0,0,1,0,6802,715,60,25,0,0,3,2,1,2,3,1,97
R07505,ïüìáåß,å√ìaí¨,5373,2610,2763,5328,2607,2721,629,301,328,2948,1573,1375,1796,736,1060,1153,416,737,45,24,105,79,157,1661,1660,5323,714,306,417,153,185,22,6,16329,2935,302,6,69,52,0,1,8,73,3,2,4,17,25,4,7,4,21,6,6,121,175,1912,44,319,695,0,9,52,279,16,5,9,51,49,88,101,22,85,88,44,1014,854,82.6,7.7,4579386,520230,4394301,798221,424527,851852,16868,0,0,1,18,278,1,15,136,0,0,1,1,5783,1598,63,13,0,0,2,2,1,3,3,1,220
R07521,ïüìáåß,éOètí¨,18304,9089,9215,18235,9073,9162,2016,1047,969,10557,5468,5089,5620,2472,3148,2954,1133,1821,54,103,210,443,491,6230,6220,18063,3391,1317,1670,767,606,54,24,7276,4936,698,6,102,71,1,5,18,158,4,28,20,71,54,35,59,7,46,13,6,173,519,6083,49,716,1684,7,6,266,860,52,52,57,320,130,400,820,185,224,255,49,2400,3634,90.7,7.9,11326195,1679621,11037095,5452660,759447,1034710,14417,2,130,6,94,785,2,45,463,1,699,4,1,17790,3435,134,49,2,1,12,6,17,6,18,3,234
R07522,ïüìáåß,è¨ñÏí¨,10475,5115,5360,10403,5093,5310,1203,599,604,5991,3115,2876,3246,1376,1870,1945,700,1245,65,60,158,255,305,3425,3420,10307,1712,704,862,359,341,29,10,12518,3902,567,7,59,81,2,0,12,174,4,9,7,50,60,17,33,5,39,8,7,140,420,4146,51,344,1269,12,0,168,859,36,25,31,191,191,170,501,42,116,140,51,1613,2482,84.8,8.3,5731195,976365,5620354,1481830,479064,925273,21831,1,40,4,48,503,1,23,288,1,306,2,1,10595,998,157,35,1,1,8,4,11,4,10,3,154
R07541,ïüìáåß,çLñÏí¨,4319,2750,1569,4302,2744,1558,256,130,126,2930,2109,821,1131,509,622,548,194,354,17,35,82,284,332,2435,2430,4120,697,1555,355,208,185,28,11,5869,1478,219,4,43,23,3,1,7,33,1,4,9,31,12,6,8,1,22,10,4,67,148,2745,32,349,497,213,1,46,103,8,30,254,220,45,41,131,5,645,121,32,850,1863,59.3,8.2,18317913,3160800,16731856,9945087,1581251,576869,187004,1,51,1,14,142,1,14,69,1,282,1,0,5071,5071,28,14,0,1,3,1,3,0,6,1,26
R07542,ïüìáåß,ìËótí¨,975,846,129,970,842,128,3,1,2,741,690,51,185,109,76,76,38,38,5,54,103,251,299,839,839,975,93,735,68,42,54,29,10,10364,2612,34,0,9,2,3,0,1,2,0,3,0,2,0,0,0,0,6,6,0,11,23,488,0,98,18,32,0,13,6,0,21,0,23,0,0,0,0,114,163,0,116,372,71.1,5.4,18926538,1709814,16886572,1290844,4238141,897551,2087637,0,0,2,18,72,1,12,56,0,0,1,0,7315,1113,1,1,0,0,1,0,2,0,1,1,14
R07543,ïüìáåß,ïxâ™í¨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,138,43,274,0,0,0,0,0,0,0,0,45,29,6839,2759,5,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,171,0,155,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,0,155,16,81.8,6.2,15614201,1928549,14039572,2017166,2635608,533703,297237,3,24,2,12,15,2,19,18,1,62,0,1,13674,725,0,0,0,0,0,0,0,0,3,0,0
R07544,ïüìáåß,êÏì‡ë∫,2021,1222,799,2003,1217,786,74,40,34,1181,828,353,765,353,412,453,184,269,18,10,52,105,89,1082,718,1591,380,204,265,158,110,11,2,19735,2419,89,6,19,6,0,0,0,22,1,0,0,7,2,3,6,2,4,10,6,26,57,816,56,183,59,0,0,0,71,3,0,0,48,3,31,50,7,32,266,56,249,511,90.6,5.8,9731180,423149,8951624,2983108,1101986,1099120,770581,0,0,1,10,35,1,9,14,0,0,1,0,2764,0,22,4,0,0,1,0,1,1,0,1,19
R07545,ïüìáåß,ëÂåFí¨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,88,53,162,0,0,0,0,0,0,0,0,36,18,7871,2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,-2.3,14371452,4370076,13941176,1265511,523768,588015,13775,2,7,2,19,38,1,14,27,1,12,1,1,10700,202,0,0,0,0,2,0,1,0,2,0,0
R07546,ïüìáåß,ëoótí¨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,70,40,83,0,0,0,0,0,0,0,0,24,7,5142,2141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.6,12.6,8254377,1084030,7757002,1382099,364869,228206,157847,1,7,2,12,19,1,10,9,1,11,1,1,6174,864,0,0,0,0,0,0,0,0,2,0,0
R07547,ïüìáåß,òQç]í¨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,227,57,243,0,0,0,0,0,0,0,0,68,28,22314,6250,14,0,1,2,1,0,2,1,1,2,1,0,0,0,0,0,1,2,0,3,11,131,0,11,14,9,0,8,12,2,4,7,0,0,0,0,0,5,59,0,25,106,95.5,10.1,14052335,760946,13386309,2755321,2065920,576381,368728,4,0,6,47,11,3,30,17,2,26,6,1,18546,18546,1,0,0,0,1,0,1,0,2,0,0
R07548,ïüìáåß,äãîˆë∫,18,12,6,18,12,6,0,0,0,9,6,3,9,6,3,3,1,2,0,12,23,30,25,9,9,18,5,3,4,1,1,5,2,8437,1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.6,2.8,6933543,231894,5958570,1694578,2444936,240792,119122,1,8,1,7,9,1,9,11,0,0,1,0,1467,172,0,0,0,0,0,0,0,0,0,0,0
R07561,ïüìáåß,êVíní¨,8218,4135,4083,8176,4111,4065,1096,592,504,4603,2406,2197,2455,1089,1366,1302,495,807,42,63,126,316,239,2699,2626,8013,1292,546,587,281,224,30,12,4653,3033,304,4,61,45,3,2,7,52,1,3,9,16,25,12,24,6,26,7,4,107,193,2996,111,476,622,126,2,137,292,6,22,64,61,45,152,371,53,262,174,111,1118,1767,80.9,9.8,14392160,2076624,13833851,1035869,8291931,399295,201484,0,0,3,41,446,1,26,254,1,171,2,1,8021,1093,37,10,0,1,5,1,10,4,6,3,276
R07564,ïüìáåß,î—ä⁄ë∫,41,7,34,41,7,34,0,0,0,0,0,0,41,7,34,41,7,34,0,54,86,39,133,1,0,0,0,0,0,0,0,27,7,23013,5690,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,75.7,6.6,9178870,441023,8369019,974876,354174,842093,179270,2,37,3,31,108,1,17,88,1,69,1,0,6275,1416,0,0,0,0,1,0,0,0,0,1,5
R08201,àÔèÈåß,êÖåÀés,270783,132799,137984,266098,130544,135554,34839,17993,16846,163039,81976,81063,66236,28675,37561,32451,12659,19792,2492,2383,2629,10312,9941,117590,117337,264039,64455,42991,23538,12368,11734,1532,441,21732,18258,13790,23,1294,547,20,132,222,3603,354,1006,758,1749,1287,566,1045,46,1037,99,24,1842,11924,152570,225,10704,7816,1082,2597,7636,33616,7501,3452,5047,14281,8069,8778,17668,521,16065,7496,237,18524,133809,87.9,9.3,105368733,41049243,99133246,39092881,14032390,10142864,673226,34,3242,35,853,14631,18,546,7741,15,13337,2,7,272932,10226,2465,1565,37,26,236,173,659,226,732,46,4422
R08202,àÔèÈåß,ì˙óßés,185054,92595,92459,183548,91892,91656,21621,11090,10531,108148,56828,51320,53977,24132,29845,25865,10919,14946,1198,1060,2063,3862,5112,78625,78539,181548,46679,25476,20503,11330,8900,759,265,22574,10423,7453,10,724,735,18,83,167,1818,86,343,259,1086,815,335,507,39,370,47,15,1465,5973,93708,118,5385,25546,425,3788,4321,12719,1413,1379,6230,7802,3424,4278,9490,482,5138,1598,239,30982,62487,88,0,75023450,28550952,70271925,22276895,8188948,10097559,2383,27,1394,26,563,8848,17,431,5472,8,6203,0,4,187188,2561,1435,962,20,13,110,79,312,105,337,25,1862
R08203,àÔèÈåß,ìyâYés,140804,70101,70703,138092,68916,69176,17312,8991,8321,85252,43986,41266,37562,16660,20902,17068,6817,10251,2534,1015,1489,5667,5922,57257,57134,137173,32798,18071,13424,6717,5665,762,307,12289,9863,6888,24,732,381,14,53,189,1821,119,429,286,917,644,244,491,31,459,51,26,1114,5748,81207,430,4352,13280,481,938,6247,15430,1698,1465,1990,7791,3608,3936,8925,982,6315,3326,438,17637,63132,89.2,6.1,62643300,22282380,61345827,18361279,8321405,9212074,53090,16,2071,19,428,7096,9,271,3940,8,8568,8,5,144277,6170,1274,774,19,6,110,87,406,127,405,26,1951
R08204,àÔèÈåß,å√âÕés,140946,70354,70592,138923,69421,69502,17562,8995,8567,87054,44858,42196,35974,16313,19661,15781,6368,9413,1931,1015,1498,3690,3793,52571,52504,138707,30934,13588,12580,5747,4680,652,292,12358,11474,6265,31,818,767,8,24,229,1514,85,383,161,688,613,236,354,25,290,39,31,1585,4649,61956,264,3990,17823,135,128,4503,11258,976,1142,807,4966,2554,2538,5814,486,2526,2046,264,21813,39879,87.8,8.4,51361972,19212146,49437635,19212740,4378946,7394834,158208,10,1253,23,488,7348,9,264,3584,5,3141,7,2,144830,9898,1188,610,13,7,75,68,186,118,240,25,2090
R08205,àÔèÈåß,êŒâ™és,76020,37530,38490,75093,37184,37909,8622,4465,4157,44542,22803,21739,22330,9955,12375,11157,4438,6719,746,500,959,1888,2200,27288,27227,73618,15350,6674,6822,3234,2569,330,146,21553,12601,3274,25,459,326,5,15,91,775,39,137,98,349,330,120,238,31,212,24,25,785,2464,29178,178,2187,6040,175,97,1622,5386,517,535,443,2232,1350,1342,4639,543,1243,649,178,8227,20773,89.3,9.4,32933002,9579031,31536216,10489084,6112990,2753614,63312,7,634,19,285,3572,7,161,2025,4,1926,15,1,77591,12287,610,298,8,7,48,37,98,59,118,16,1421
R08207,àÔèÈåß,åãèÈés,51594,25689,25905,50119,24874,25245,6626,3371,3255,30618,15842,14776,14127,6344,7783,6587,2648,3939,1404,350,571,1441,1379,18267,18241,50601,10403,4220,4455,2020,1469,199,90,6576,6340,2329,20,337,363,3,3,59,568,19,114,70,214,192,71,140,8,135,12,20,701,1608,21538,187,1695,6571,46,20,1053,4138,316,285,310,1473,639,808,2512,184,858,431,187,8278,13073,94.1,10.8,18557218,6605319,17616344,6615156,1907094,2133767,43651,3,319,9,193,2772,3,101,1373,3,1267,2,1,52641,3128,417,190,7,2,30,27,68,32,74,11,1148
R08208,àÔèÈåß,ó¥ÉPçËés,78342,38959,39383,76631,38135,38496,9590,4852,4738,48335,24638,23697,19113,8765,10348,7767,3143,4624,1070,479,694,2205,2654,30472,30432,76707,19108,8008,7373,3735,2578,307,151,7855,6871,2638,17,256,196,5,10,57,663,27,164,106,319,285,128,200,10,171,24,17,452,2169,28863,250,1572,6039,428,34,1077,5733,373,520,692,2521,1501,1780,3091,334,2092,826,250,7611,21002,90.1,5.8,26340409,9972594,24837546,8904733,1493785,3052310,7081,4,510,12,251,3992,6,151,2125,4,1804,0,1,78841,2047,539,286,14,2,46,40,114,51,163,14,1412
R08210,àÔèÈåß,â∫ç»és,43293,21603,21690,42022,20981,21041,5719,2962,2757,26540,13726,12814,11018,4901,6117,5411,2059,3352,1261,306,496,1154,1360,15036,15015,42650,8229,3478,3165,1377,1145,199,69,8088,7705,2322,19,330,291,2,4,83,572,30,128,50,218,200,76,113,20,163,23,19,621,1682,20991,179,1728,5601,29,14,1632,4006,313,309,207,1691,856,707,1766,222,974,757,179,7329,13483,87.7,9.6,18741594,5549770,17470376,5186638,2634540,2515084,117619,9,391,9,171,2332,3,97,1262,2,1675,3,1,44827,7567,450,189,7,3,24,21,33,25,66,6,733
R08211,àÔèÈåß,èÌëçés,61483,30692,30791,58966,29389,29577,7633,3908,3725,36451,18929,17522,16860,7525,9335,8027,3093,4934,2285,397,716,1399,1790,20600,20575,60328,10806,4671,4753,1965,1580,212,96,12364,11762,3062,19,459,470,7,8,148,740,26,98,86,256,261,98,166,28,172,19,20,929,2113,34164,199,2301,12619,119,37,2862,4959,377,263,691,1539,1344,1274,2983,202,1627,767,200,14920,19044,85.2,9.9,34105703,9325875,31112295,10562961,2675423,3371701,1715680,6,368,14,251,3362,5,131,1711,3,1990,12,1,64854,11291,545,214,6,3,36,28,63,33,104,13,1012
R08212,àÔèÈåß,èÌó§ëæìcés,52294,25382,26912,52180,25348,26832,4975,2593,2382,29533,14837,14696,17745,7930,9815,9761,3838,5923,99,249,779,963,1272,19436,19388,51161,12402,3932,6092,3208,2469,141,63,37199,12440,2035,20,309,234,5,10,33,458,19,37,51,192,221,96,143,28,139,37,20,546,1469,15300,153,1458,2495,43,53,426,2914,220,84,270,944,1172,919,2593,312,521,702,153,3974,11173,89.8,5.3,25021222,5371216,24037584,6797145,2444994,3306709,20750,7,312,13,191,2059,7,133,1295,3,1620,19,1,54807,4343,380,148,9,5,19,19,34,25,61,8,676
R08214,àÔèÈåß,çÇîãés,29638,14598,15040,29492,14517,14975,3329,1680,1649,17197,8782,8415,9061,4099,4962,4278,1689,2589,140,178,354,787,950,11751,11721,28657,7308,3109,3378,1748,1387,108,37,19358,3908,1284,9,117,103,3,4,29,324,16,70,41,177,151,60,93,10,60,17,9,220,1055,12214,79,545,3243,13,30,384,2318,147,166,431,794,626,502,1859,284,385,408,79,3788,8347,96.3,14.4,14722679,3912971,13910044,3827226,1328634,1356478,1698502,4,199,5,86,1311,4,79,763,2,870,7,1,30167,3260,281,147,5,3,17,15,41,18,89,5,419
R08215,àÔèÈåß,ñkàÔèÈés,44412,22003,22409,44141,21872,22269,4924,2555,2369,25811,13242,12569,13183,5910,7273,6578,2551,4027,240,280,583,863,1183,16871,16847,43480,10141,4151,4652,2224,1941,150,73,18680,5953,1778,5,209,253,5,5,46,435,23,64,42,202,183,75,102,16,94,15,9,462,1307,18284,20,944,6770,39,41,685,2821,207,155,146,1433,841,792,1936,156,701,363,254,7714,10316,90.7,7.8,23855527,5635932,22707008,5453997,1994662,4479546,73,4,589,11,167,2080,5,103,1165,1,379,9,1,45627,8195,361,142,7,3,20,15,37,19,64,4,368
R08216,àÔèÈåß,ä}ä‘és,76739,37510,39229,76163,37251,38912,9251,4793,4458,45466,22889,22577,21713,9659,12054,10406,4094,6312,500,528,889,1794,1988,28202,28138,75211,16983,6411,7437,3527,2712,312,103,24040,13993,3584,17,487,480,5,10,89,884,33,168,121,360,318,142,224,21,198,23,17,971,2596,29922,129,2167,7048,53,28,1444,5522,399,421,570,2247,1549,1644,4040,397,1499,732,129,9248,20545,88.1,9.2,30378451,8950606,29447180,10672739,2924540,2781037,70412,7,795,11,237,3701,6,159,2100,2,822,16,3,78151,13102,735,297,8,4,38,36,210,48,135,10,1158
R08217,àÔèÈåß,éÊéËés,106570,52489,54081,105374,51978,53396,11555,5945,5610,61423,31015,30408,33380,15384,17996,13439,5867,7572,1133,640,1080,3154,3346,43477,43433,105287,28130,11497,13575,7213,4928,411,160,6994,6795,3328,9,319,147,3,21,61,841,58,213,134,418,361,223,286,21,180,31,9,468,2851,32580,107,1584,7111,57,153,1386,6175,683,610,587,2510,1586,2383,4253,281,2078,1019,107,8712,23761,91.9,8.5,38780453,14314416,37786710,13044767,6210883,4554435,5994,8,673,15,324,5133,8,214,3398,7,4797,14,2,109056,4147,670,371,9,8,55,53,191,66,178,19,1656
R08219,àÔèÈåß,ãçãvés,84317,41672,42645,82655,40915,41740,11355,5709,5646,50287,25263,25024,21846,10204,11642,8329,3596,4733,1127,654,687,3415,3177,33223,33148,82866,21736,8337,8878,4861,2484,404,144,5892,4798,2481,21,256,128,3,16,37,619,44,159,109,266,314,138,225,9,120,17,21,384,2076,26518,177,1411,3702,11,337,869,5748,429,525,517,2582,1459,1547,4635,238,1435,896,177,5113,21228,91,2.4,27305471,11688522,25816660,8979323,2263386,4451288,0,7,963,8,252,4793,6,146,2248,3,3335,0,1,84629,1052,490,231,16,2,53,44,156,61,217,16,1677
R08220,àÔèÈåß,Ç¬Ç≠ÇŒés,226963,114774,112189,213960,108989,104971,31448,16254,15194,139739,72087,67652,40999,18530,22469,18404,7221,11183,6131,2205,1715,12288,10255,98190,98057,223112,45312,41225,13403,6806,4492,1327,328,28372,24337,8718,62,1005,410,3,144,165,2375,136,467,513,998,761,353,588,40,640,53,63,1419,7236,128858,735,6037,10472,68,2468,4005,23243,2500,2191,22601,10655,4337,9881,15587,346,11957,1752,736,16531,111591,89,6.7,76571009,42111750,73046681,26535624,8808865,10843045,0,26,2745,36,735,12359,15,420,6171,6,3568,0,1,222818,5462,1758,852,38,11,178,123,1144,206,1537,47,4734
R08221,àÔèÈåß,Ç–ÇΩÇøÇ»Ç©és,155689,78270,77419,154580,77814,76766,22079,11157,10922,96086,49962,46124,37127,16871,20256,16699,7182,9517,980,1287,1327,5041,4903,61104,61019,153225,38772,16406,14109,7429,4997,808,225,9993,9460,5675,8,571,414,10,69,141,1494,63,261,192,845,621,251,383,27,292,31,9,986,4680,72873,52,3741,21955,193,1573,3233,12754,902,909,2494,6391,3435,3423,6206,605,3672,1306,78,25699,47096,89.9,8.9,52778434,23842360,49127534,17204205,7036177,7217628,0,16,2036,20,494,8838,9,297,4579,5,2842,0,3,159304,11867,1161,717,28,6,86,68,205,87,248,22,2775
R08222,àÔèÈåß,é≠ìàés,67879,35089,32790,67006,34731,32275,8719,4387,4332,40017,21599,18418,18708,8773,9935,7627,3205,4422,773,557,696,2215,2159,27450,27408,66046,15457,8674,6517,3789,2747,308,133,10602,7978,2458,6,400,135,8,15,61,603,40,116,77,341,245,77,158,11,140,16,8,542,1908,31745,141,3347,7571,245,218,2199,5159,562,454,963,2149,1370,1421,3453,273,1435,708,179,10957,20609,91.1,8.1,32317864,11256183,29162435,8314001,3808347,3363559,106521,4,263,12,248,3462,6,164,2080,4,2230,11,2,67885,3207,469,280,11,4,36,27,95,43,102,17,1713
R08223,àÔèÈåß,í™óàés,29111,14415,14696,28728,14228,14500,3341,1687,1654,17331,8859,8472,8253,3742,4511,3855,1544,2311,330,187,354,605,714,10547,10537,28672,5841,2636,2573,1175,1046,133,49,7140,5015,1327,5,180,114,3,3,28,343,21,59,54,182,132,49,58,9,71,10,6,299,1022,10376,13,1035,1663,22,3,591,2313,216,131,406,1036,692,458,790,111,576,281,21,2729,7626,91.9,5.4,25320253,3120014,22621805,4026123,12291832,1376981,193068,2,68,6,110,1393,4,80,714,1,461,7,1,29298,2438,284,156,5,0,13,16,16,19,20,9,631
R08224,àÔèÈåß,éÁíJés,64753,32742,32011,63989,32402,31587,10243,5318,4925,41528,21043,20485,12651,6124,6527,4503,1917,2586,614,543,383,3195,2546,24867,24856,64391,16847,6015,5289,2736,1518,328,103,3571,3364,2185,2,197,135,3,16,50,497,28,180,95,265,232,166,203,6,100,10,2,332,1851,23417,22,1215,3665,58,66,1207,5093,392,486,599,2819,1274,1426,3122,152,1371,450,22,4880,18515,89.9,6.8,21806020,11270422,20601285,6841228,2766830,3372670,5808,5,1239,10,241,4266,4,118,1897,1,706,5,1,65260,0,404,237,10,3,43,39,115,66,151,10,958
R08225,àÔèÈåß,èÌó§ëÂã{és,42587,20953,21634,42363,20876,21487,4483,2318,2165,23685,12158,11527,14005,6246,7759,7930,3145,4785,188,220,648,884,1110,16005,15963,41475,9500,3866,4632,2379,2025,132,43,34845,13303,1989,19,308,235,4,4,41,502,24,62,43,170,206,66,128,25,120,26,21,547,1421,17750,315,1372,4950,119,11,528,2939,231,133,251,1162,1258,601,2687,112,399,643,333,6343,11074,84.6,8.6,25544070,4829962,23619999,6418820,1617129,2497704,22187,5,180,11,150,1880,5,103,1088,2,463,25,1,43645,14314,428,139,6,2,25,15,42,20,58,11,951
R08226,àÔèÈåß,ìﬂâœés,54276,26422,27854,54045,26318,27727,6779,3493,3286,31580,15782,15798,15693,7040,8653,7559,3023,4536,166,342,645,1630,1542,20025,19965,52756,13354,4044,5679,2982,1927,219,76,9782,8194,1978,10,279,176,5,13,50,480,21,74,58,192,212,72,176,16,128,14,10,457,1511,17804,86,1633,2343,66,58,1074,3433,263,225,936,1176,935,959,3174,346,593,495,86,3985,13733,89.7,7.2,19598020,6736890,18615249,6188619,2487087,2075135,1458,7,432,9,174,2765,5,122,1460,2,1377,1,1,55612,4972,391,168,9,3,32,25,54,26,85,7,793
R08227,àÔèÈåß,í}êºés,104573,51663,52910,102959,50992,51967,12759,6475,6284,62316,32096,30220,29178,12847,16331,13908,5361,8547,1511,648,1325,1999,2410,35683,35613,102411,19619,7682,8656,3796,3072,393,201,20530,19234,4936,51,681,669,6,17,144,1213,81,193,137,455,478,173,301,28,270,38,51,1351,3534,47299,695,3706,14113,348,188,2711,7796,980,480,913,2683,1767,1708,5251,631,2051,1266,695,17831,28773,83,9.3,43464838,15689200,40543995,13402762,3562635,4646760,98595,5,377,20,364,5161,7,226,2974,4,2648,15,2,107975,15247,911,392,9,5,80,56,117,76,163,20,1946
R08228,àÔèÈåß,ç‚ìåés,54087,27298,26789,52753,26559,26194,6839,3435,3404,32517,17104,15413,14359,6519,7840,6621,2643,3978,1249,335,652,947,1241,17327,17282,53000,8881,3524,3893,1559,1203,211,91,12303,11129,2747,34,516,461,2,3,111,603,18,83,65,235,224,75,128,14,157,18,34,977,1736,24228,317,2091,8507,24,10,1925,3585,232,203,213,1392,1044,835,2206,220,898,526,317,10598,13313,88.6,7,25982759,7226962,24110405,6721768,2746378,2381739,1033956,2,211,13,225,2852,4,117,1566,2,758,11,2,56115,3360,474,202,7,2,25,22,42,32,53,8,899
R08229,àÔèÈåß,àÓï~és,42810,21218,21592,42088,20886,21202,4253,2157,2096,24920,13046,11874,13552,5943,7609,6782,2554,4228,712,202,655,818,1177,14453,14432,41493,7585,3107,3744,1620,1433,136,70,20581,16116,1840,29,277,237,2,3,69,495,16,56,35,149,171,48,86,15,126,20,32,517,1291,16973,219,1334,5184,25,6,850,3188,173,173,178,994,1153,625,1755,132,545,397,241,6538,10194,88.4,6.5,24361949,4891694,23234220,5745432,2407580,2113301,0,4,289,11,153,1823,4,93,979,1,544,4,1,42810,6877,419,123,5,1,18,17,35,20,41,5,624
R08230,àÔèÈåß,Ç©Ç∑Ç›Ç™Ç§ÇÁés,42147,21331,20816,41336,20950,20386,5172,2697,2475,25216,13195,12021,11693,5383,6310,5360,2190,3170,798,276,518,1214,1372,15142,15109,41056,8614,3767,3668,1751,1196,188,73,15660,9089,1563,23,255,168,2,4,79,346,10,127,29,105,127,45,98,13,112,15,28,423,1112,15967,225,1150,4671,18,35,1933,2919,108,315,226,647,675,516,1410,80,663,356,245,5821,9901,84.2,10.7,19333597,5442832,18716510,5800538,2041587,3127585,0,1,130,9,166,2162,4,85,1166,1,223,9,2,43202,1133,247,93,5,0,21,17,17,20,24,10,995
