Code,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2107,C210703,C210708,C210709,C210710,C210711,C210712,C210713,C210716,C210717,C210718,C210719,C210720,C210721,C210722,C210723,C210724,C210725,C2110,C2111,C2112,C2207,C220703,C220708,C220709,C220710,C220711,C220712,C220713,C220716,C220717,C220718,C220719,C220720,C220721,C220722,C220723,C220724,C220725,C2210,C2211,C2212,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E4101,E4501,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
R27231,ëÂç„ï{,ëÂç„ã∑éRés,57792,27208,30584,57344,26980,30364,7932,4063,3869,34114,16312,17802,15419,6629,8790,6888,2773,4115,295,412,522,2248,1956,22982,22960,56268,15263,6370,5894,3330,2688,226,101,1192,1163,1938,4,123,143,3,6,18,448,18,257,53,241,193,123,193,8,94,13,4,266,1668,20810,33,592,2656,27,83,338,3173,246,683,177,2389,953,2146,5870,180,800,464,33,3248,17529,93.9,5.6,19463354,7354860,18672785,7932609,1465613,2263698,0,5,251,7,196,3309,3,112,1594,1,955,1,1,57788,156,363,215,4,6,49,36,624,74,190,6,810
R27232,ëÂç„ï{,ç„ìÏés,54276,25782,28494,53964,25630,28334,6847,3434,3413,31830,15325,16505,15566,6998,8568,6435,2606,3829,247,306,508,1237,1582,20710,20678,53390,14583,4444,6223,3546,2513,205,80,3617,1746,1626,2,159,127,2,7,16,397,19,117,54,167,171,97,177,10,94,8,3,287,1336,12991,8,700,1963,40,50,263,2447,193,278,182,1023,585,923,2985,166,543,634,12,2667,10312,97.4,9.9,18843225,5654440,18640627,7810482,1225090,2330202,0,6,584,9,198,2897,5,117,1514,1,749,3,1,56498,7816,337,153,2,3,40,28,75,37,69,7,853
R27301,ëÂç„ï{,ìáñ{í¨,29983,14289,15694,29723,14174,15549,4385,2229,2156,17826,8591,9235,7656,3399,4257,3202,1303,1899,146,254,241,969,994,12012,12001,29582,8455,2958,3200,1787,1414,112,37,1681,710,701,1,47,35,5,6,14,150,7,61,31,68,66,51,104,3,47,5,1,82,618,7629,22,252,1429,33,26,172,1094,66,160,952,357,392,334,1580,25,475,260,22,1681,5926,95.9,6.9,11548584,4729351,11319352,4111943,851192,2210426,33016,3,582,4,118,1762,2,66,768,1,718,0,1,30657,495,123,49,3,1,24,11,39,9,250,4,688
R27321,ëÂç„ï{,ñLî\í¨,19934,9451,10483,19867,9425,10442,1573,828,745,10607,4958,5649,7752,3664,4088,3052,1380,1672,67,52,217,400,663,7760,7707,19661,5851,1163,3370,2116,796,47,20,3434,1213,361,1,50,23,1,4,10,68,3,11,15,18,26,17,56,5,46,6,1,74,286,2555,2,222,233,14,6,46,516,25,25,47,79,66,142,800,36,121,169,2,461,2092,90.9,5.8,6841406,1952456,6490892,1798541,372409,757779,54275,1,98,4,69,641,2,47,418,0,0,2,1,20934,59,54,15,2,0,17,7,14,8,23,2,168
R27322,ëÂç„ï{,î\ê®í¨,10256,4899,5357,10205,4871,5334,822,423,399,5864,2896,2968,3569,1579,1990,1592,614,978,51,37,142,275,449,3717,3696,9891,2258,759,1179,635,475,33,14,9875,2128,427,10,55,63,2,1,16,80,3,5,5,32,22,14,30,5,72,12,10,118,299,3660,100,205,834,18,2,209,687,18,15,44,243,130,277,390,38,260,190,100,1039,2521,94.9,12.9,9348003,1212388,9190887,1199312,444723,3902427,145666,0,0,1,34,341,1,31,237,1,155,0,0,10966,2174,64,24,1,0,7,3,5,3,5,1,78
R27341,ëÂç„ï{,íââ™í¨,17298,8281,9017,16847,8055,8792,2396,1203,1193,10145,5083,5062,4737,1979,2758,2318,878,1440,443,120,198,551,585,6726,6716,16922,4225,1880,1704,887,896,57,47,397,397,627,0,37,135,4,0,21,152,3,23,9,65,45,17,70,3,39,4,0,172,455,6718,0,312,2329,57,0,608,956,36,168,37,244,171,206,932,23,463,176,0,2641,4077,113.6,19.7,6459542,2262894,6454728,2168226,551948,541250,0,2,164,2,66,993,1,34,507,0,0,1,1,17482,1371,112,54,1,1,14,10,14,12,28,3,434
R27361,ëÂç„ï{,åFéÊí¨,44435,21679,22756,44118,21477,22641,6182,3181,3001,26634,13158,13476,11412,5189,6223,4535,1814,2721,161,319,344,1114,1148,16483,16438,42895,11210,3889,4396,2457,1452,164,79,1724,1190,1277,3,124,130,2,4,18,256,13,117,40,129,108,99,156,8,63,7,3,254,1020,10351,13,551,1087,24,8,189,1386,116,238,296,831,498,1456,2987,71,296,304,13,1638,8700,94,8.4,13392946,4204964,13294705,4822304,1460259,1449747,172,2,682,5,154,2676,4,105,1431,1,767,1,1,44193,4855,211,111,0,1,36,16,89,25,78,8,1041
R27362,ëÂç„ï{,ìcêKí¨,8417,4227,4190,8282,4157,4125,1245,627,618,5151,2735,2416,1920,816,1104,935,349,586,77,52,77,1384,1379,3772,3765,8237,1880,1664,693,360,382,36,17,562,562,423,1,25,16,4,2,32,108,12,27,3,62,30,19,30,2,35,15,1,41,381,6896,16,171,280,29,29,1156,980,117,80,8,893,115,870,508,13,399,1232,16,451,6429,68.3,11.5,5540490,3879634,5215972,1189540,785828,438804,0,1,63,1,34,549,1,28,262,0,0,1,0,8499,972,94,57,3,1,8,5,16,5,12,1,143
R27366,ëÂç„ï{,ñ¶í¨,15938,7388,8550,15848,7355,8493,1567,794,773,8553,4116,4437,5787,2462,3325,2750,1049,1701,77,73,217,338,426,6407,6385,15405,4095,1684,2110,1188,1140,55,17,4918,1287,506,0,46,31,4,1,4,135,5,21,11,46,56,30,51,9,47,7,2,77,427,4554,0,340,498,20,32,40,645,40,53,58,300,282,297,1203,52,478,200,16,838,3700,95.3,16.2,7603824,2138236,7536864,2218065,1220882,595486,11394,3,178,4,56,612,1,31,399,1,624,1,1,16533,2573,115,33,1,1,10,4,13,8,16,3,145
R27381,ëÂç„ï{,ëæéqí¨,13748,6723,7025,13652,6669,6983,1861,952,909,8266,4140,4126,3553,1582,1971,1541,617,924,69,100,130,338,429,5066,5056,13459,3576,1077,1373,797,519,52,23,1417,899,443,1,56,57,2,0,11,88,1,57,9,23,29,32,39,3,30,4,1,114,328,3298,5,210,515,10,0,200,484,2,99,19,159,193,294,729,60,179,137,5,728,2565,90,8.2,5112952,1523567,4881367,1560908,336236,467796,0,2,156,2,49,743,2,49,573,1,679,1,0,13885,267,68,14,0,0,7,3,4,3,8,2,235
R27382,ëÂç„ï{,âÕìÏí¨,16126,7838,8288,16007,7768,8239,1870,960,910,9441,4731,4710,4672,2066,2606,2227,920,1307,68,75,158,508,492,6115,6104,15763,3669,1664,1623,900,564,59,26,2526,1312,541,3,69,70,1,1,19,102,5,74,11,39,30,25,38,5,43,6,3,139,399,5279,68,377,736,7,2,361,673,13,144,56,166,111,1329,725,44,311,156,68,1113,4098,90.4,8.4,5710998,1588066,5540206,1811752,438841,648108,873,2,104,4,75,803,1,31,423,0,0,2,0,15816,847,75,33,2,0,9,3,8,3,16,2,158
R27383,ëÂç„ï{,êÁëÅê‘ç„ë∫,5378,2558,2820,5363,2550,2813,476,255,221,2691,1313,1378,2186,975,1211,927,368,559,15,16,79,80,141,2036,2035,5323,1342,395,831,481,284,21,9,3730,720,216,1,25,50,1,0,12,32,0,10,3,16,10,13,13,6,17,7,1,75,140,2109,1,122,747,11,0,207,228,0,21,33,106,123,83,183,29,120,95,1,869,1239,84.5,11,3165397,530625,3029915,736172,230091,437175,0,1,43,2,29,227,1,17,98,0,0,0,0,5639,487,20,10,0,0,5,1,3,1,2,1,89
R28100,ï∫å…åß,ê_åÀés,1537272,726700,810572,1480458,698836,781622,185084,94580,90504,921967,445463,476504,411427,175824,235603,194052,74024,120028,34751,11786,15350,65881,66123,705459,704497,1508891,388794,280073,152226,83339,99962,7506,2715,55702,33314,71718,96,3897,4279,55,814,2188,18295,993,5606,3362,12292,5624,2869,6257,244,4630,212,98,8179,63441,776937,728,28636,91236,3180,14630,54122,160868,17115,22521,25606,86095,31878,41357,107257,3820,66782,21024,778,119904,656255,95.9,7.9,749273636,271892428,737615816,294203847,90537379,69844258,1650179,131,18196,168,4395,76655,102,2644,40688,58,42822,7,11,1547494,1900,13103,11340,248,100,1564,934,4869,1243,5014,210,21502
R28201,ï∫å…åß,ïPòHés,535664,258724,276940,524437,253528,270909,75155,38542,36613,324094,161344,162750,134671,57729,76942,61134,23374,37760,8842,4381,5145,11942,12872,212801,212541,527244,129135,62344,48131,25305,24046,2648,914,53447,22847,25456,61,2266,2118,36,193,607,6614,449,1579,980,3555,2126,1167,1715,151,1704,116,63,4401,20992,264571,1024,18635,51382,1850,2389,15578,50986,6415,6139,6315,23572,10410,11268,32348,1648,18809,5634,1040,70170,193361,83.4,5.5,216122865,95986971,209064755,76544645,32184927,21491138,34813,44,3336,69,1787,30067,40,1119,16103,22,14426,65,15,535664,17719,4778,3195,84,33,395,288,1122,387,1109,80,9525
R28202,ï∫å…åß,ìÚçËés,452563,219059,233504,436015,210927,225088,50036,25442,24594,265526,131882,133644,121155,52374,68781,55244,21349,33895,7626,3759,4689,15477,15571,210433,210229,446703,109810,86612,45292,22524,28903,2743,934,5072,5072,18492,15,1443,1817,26,120,406,4334,222,1365,527,2904,1659,642,1892,68,993,58,15,3261,15216,206252,297,12277,41826,1041,2916,14063,35880,3449,5737,6616,17187,8031,7572,30158,924,13945,4297,297,54139,151816,95.4,13.8,202608441,77459503,202072289,95287787,15989797,27445614,13003,35,5714,42,1216,21636,20,628,10032,13,9531,6,2,464318,1471,3284,2588,74,24,491,253,1149,343,1165,76,6287
R28203,ï∫å…åß,ñæêŒés,293409,141801,151608,290035,140058,149977,39714,20209,19505,178803,88677,90126,74142,32394,41748,32892,12937,19955,2756,2692,2706,9875,9287,121890,121772,288301,78488,36736,28970,15667,15511,1635,596,4942,4737,9483,9,518,648,19,62,141,2335,164,636,330,1501,931,489,1012,43,606,36,12,1166,8305,105860,51,3188,22511,407,794,4049,18766,2642,2055,2291,11193,4213,5419,18823,633,6162,2640,74,25699,80087,91.1,3.8,102952355,40470272,99572905,42801744,13277766,11114470,5865,30,2790,29,909,15955,13,543,7841,8,7052,0,3,297975,2496,1840,1320,35,19,245,151,676,218,685,41,4822
R28204,ï∫å…åß,êºã{és,487850,228354,259496,464695,217560,247135,66025,33914,32111,293369,138077,155292,109205,46758,62447,49546,19192,30354,4495,4345,3772,19522,19465,210965,210770,480292,124346,73855,42951,22874,22449,2314,755,9996,6311,14469,20,763,436,19,93,276,3603,197,1657,516,2135,1348,888,1709,65,691,52,20,1200,13249,158853,354,5388,12653,505,1140,10579,33470,2462,5548,2415,17716,8979,16857,28088,775,8625,3285,354,18055,140444,93.8,4.7,173379069,84326239,170605547,73809235,16360434,26127843,161512,61,8514,43,1482,28330,27,917,14982,16,13250,24,11,487911,245,2882,1847,77,22,508,278,1549,363,1306,56,5931
