code,prefecture,municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2107,C210703,C210708,C210709,C210710,C210711,C210712,C210713,C210716,C210717,C210718,C210719,C210720,C210721,C210722,C210723,C210724,C210725,C2110,C2111,C2112,C2207,C220703,C220708,C220709,C220710,C220711,C220712,C220713,C220716,C220717,C220718,C220719,C220720,C220721,C220722,C220723,C220724,C220725,C2210,C2211,C2212,C310201,C310202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
R37202,çÅêÏåß,ä€ãTés,110010,53183,56827,108333,52181,56152,15054,7663,7391,63441,31703,31738,29572,12764,16808,14076,5403,8673,1238,843,1299,3568,3591,43853,43731,106836,26423,12838,10136,5709,4948,494,250,11183,8162,4657,21,433,345,9,26,93,1207,97,259,191,604,415,187,379,34,298,44,24,790,3843,45054,210,3133,8780,204,200,2208,8678,1047,877,1141,3687,1819,2233,6955,263,2632,942,222,11946,32886,1773,1366,90.2,4.8,40408686,13967453,39836597,16463226,2575340,4227075,28828,9,832,18,406,6298,10,270,3572,5,2967,50783,28221,22562,2145,1395,750,35813,12665,23148,1918,15014,31999,1,3,113575,8155,895,505,16,9,88,55,242,98,243,27,2993
R37203,çÅêÏåß,ç‚èoés,53164,25359,27805,52687,25127,27560,6264,3230,3034,28511,14257,14254,18133,7699,10434,9145,3385,5760,362,305,804,1423,1584,21361,21294,51082,12587,6336,5956,3379,3058,185,89,9249,6631,3154,46,303,294,12,11,159,774,35,256,114,302,234,119,221,27,206,38,48,598,2508,31197,369,2010,7155,343,64,2897,5149,450,631,1039,1670,920,1123,5066,323,1284,688,384,9166,21647,983,835,91.1,11.7,23049606,9864108,22781555,8599831,2392034,2232187,40278,10,575,12,207,2745,6,126,1501,4,2144,23828,13135,10693,1080,707,373,20303,7333,12970,1200,6451,15458,18,1,53892,9313,523,218,7,5,50,28,206,52,157,12,1009
R37204,çÅêÏåß,ëPí éõés,32927,16315,16612,32716,16221,16495,4215,2174,2041,19074,10012,9062,9497,4046,5451,4849,1832,3017,185,243,418,1850,1677,12977,12914,30985,7134,4218,3131,1751,1599,169,52,3993,3078,1553,14,115,105,2,4,28,391,19,121,49,226,133,88,115,17,108,18,14,220,1319,15287,213,661,1681,12,24,548,2762,207,223,303,1306,407,1118,2663,173,784,2202,213,2342,12732,755,616,91,5,14029118,3649750,13244697,5421195,1072095,1611549,0,9,675,8,151,1642,2,69,700,2,1434,15239,8747,6492,804,547,257,11918,4446,7472,924,3541,10482,11,1,32408,6709,305,173,5,3,30,13,155,21,73,6,582
R37205,çÅêÏåß,äœâπéõés,59409,28443,30966,58926,28267,30659,7162,3741,3421,32838,16396,16442,18983,8069,10914,10055,3822,6233,278,442,850,1279,1598,21984,21896,57943,12480,5466,5800,3092,2634,259,105,11784,7405,3232,35,280,402,6,17,85,937,60,114,103,329,286,126,198,28,189,37,35,682,2515,30354,464,1522,7505,117,50,1749,5912,635,351,1122,2513,880,1219,3914,463,1354,584,464,9027,20863,1976,1091,90.8,9.4,25781438,9058550,24767144,8593953,1685497,2950873,5389,7,732,10,200,2960,5,114,1265,2,1623,29406,15912,13494,963,656,307,19859,7079,12780,2952,9197,16038,18,3,61202,5120,677,264,7,4,48,28,187,44,160,11,1348
R37206,çÅêÏåß,Ç≥Ç Ç´és,50272,24148,26124,49963,24021,25942,5405,2770,2635,27539,13856,13683,17044,7370,9674,8903,3504,5399,279,230,690,924,1160,19752,19705,48761,11340,5578,5544,3105,2448,157,68,15863,7644,2154,32,236,277,6,4,42,499,25,59,62,226,192,99,178,27,145,41,36,513,1605,19719,378,1078,5477,31,19,764,3209,301,228,302,1193,716,1204,2897,389,1069,439,403,6555,12761,1935,986,92.7,12.5,26789004,5461267,25816064,7759570,3340777,3020145,38622,9,391,8,158,2183,3,89,1165,4,1706,23235,12667,10568,1022,710,312,19481,7364,12117,1817,6274,14819,13,2,49606,3138,402,178,5,2,39,24,84,30,125,10,775
R37207,çÅêÏåß,ìåÇ©Ç™ÇÌés,31031,14695,16336,30837,14657,16180,2983,1530,1453,15752,7826,7926,12244,5298,6946,6416,2518,3898,182,152,507,477,658,12441,12413,30213,7573,3185,4167,2468,1973,94,31,15283,4921,1584,16,132,301,4,7,24,374,24,40,40,162,144,49,124,16,90,23,30,433,1121,13548,329,656,4724,41,13,526,2305,213,164,120,619,523,428,1970,182,264,369,431,5380,7737,1013,573,93.9,0.7,18052978,3369276,16379677,5154665,1228331,1499734,3375,3,117,6,100,1120,3,69,663,1,475,14627,7861,6766,586,432,154,12468,4666,7802,1277,5263,7820,4,1,31543,5781,291,136,2,3,20,14,51,16,86,10,585
R37208,çÅêÏåß,éOñLés,65524,31274,34250,65011,31128,33883,7754,3926,3828,35192,17639,17553,22441,9645,12796,12032,4574,7458,442,395,960,1229,1460,22761,22711,63479,12848,4848,6461,3466,2713,228,85,22270,14443,2985,52,345,375,2,13,94,745,40,102,55,274,279,130,178,42,222,33,53,723,2209,26254,660,1898,7907,41,53,1619,4349,314,246,263,1402,915,1420,2947,360,997,785,672,9871,15711,2972,2135,90,3.8,31783585,7848164,30186839,9699420,2476706,4187955,75532,19,941,20,291,3100,7,175,1863,3,1408,31746,17266,14480,1202,812,390,23980,8837,15143,3756,10089,17317,33,6,66843,7306,598,211,7,7,43,21,74,30,73,11,1120
R37322,çÅêÏåß,ìyèØí¨,14002,6556,7446,13940,6540,7400,1372,712,660,7292,3614,3678,5337,2230,3107,2801,1011,1790,62,71,257,342,415,6061,6050,13669,3529,1858,1860,1085,1079,40,8,7438,2705,1009,9,78,149,2,2,26,257,12,21,22,126,84,33,60,17,77,22,21,227,761,6854,56,475,1176,11,3,242,1386,105,50,90,907,331,270,738,220,350,334,166,1651,5037,161,337,90,6.4,8221895,1587606,7636967,2010643,816076,860116,40873,6,97,2,43,549,2,41,276,0,0,6713,3604,3109,258,179,79,5645,2055,3590,468,1746,4490,8,1,14277,5291,207,77,4,0,10,5,6,5,17,5,197
R37324,çÅêÏåß,è¨ì§ìáí¨,14862,7040,7822,14739,7017,7722,1351,736,615,7375,3729,3646,6136,2575,3561,3414,1271,2143,123,73,272,388,390,6411,6386,14255,3702,2014,2057,1264,1176,49,18,9559,2613,1098,5,117,178,3,2,37,268,10,47,17,104,68,56,62,17,74,24,11,298,789,6921,48,499,1917,44,3,405,1213,58,87,55,405,174,267,1004,118,261,272,77,2478,4366,140,349,97.9,5.1,10838663,1501711,10251766,2561446,529510,1109453,15671,6,96,4,69,541,1,32,283,1,557,6653,3597,3056,289,212,77,6542,2482,4060,364,2190,4069,19,1,15033,1094,196,70,1,3,6,6,40,8,28,2,129
R37341,çÅêÏåß,éOñÿí¨,27684,13295,14389,27454,13198,14256,3452,1761,1691,15697,7650,8047,7817,3502,4315,3797,1511,2286,154,200,348,750,765,10667,10647,27252,6450,2722,2770,1515,1057,106,36,7578,3856,1062,14,128,124,1,2,24,231,9,70,30,90,88,51,106,11,71,12,14,252,796,10572,153,868,1619,16,4,348,1774,90,149,207,499,310,1349,2426,100,394,266,153,2487,7932,623,722,89.6,3,13348977,2731137,12633314,4074695,513420,1703241,12583,5,365,4,107,1511,1,51,750,1,517,13088,7080,6008,527,369,158,9441,3463,5978,856,3145,8843,4,0,28536,4624,173,71,2,3,17,10,430,28,104,7,684
