SSDSE-A-2021,prefecture,municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
R16209,ïxéRåß,è¨ñÓïîés,30399,14602,15797,30121,14523,15598,3319,1700,1619,16681,8439,8242,10386,4454,5932,5385,1959,3426,273,138,426,488,616,9517,9478,29295,4781,1738,2498,1171,863,95,21,13407,7494,1626,34,0,7,191,234,1,5,42,491,22,37,41,135,119,30,102,11,124,15007,712,0,41,1164,4859,1,6,812,2848,252,195,152,813,453,137,1899,198,465,738,194,88,15.1,16908144,4728395,16792005,5245283,3353224,1734827,102580,0,0,5,99,1234,4,69,718,0,0,0,0,3,696,15812,8573,7239,524,361,163,10560,3849,6711,787,5517,9433,15,2,30161,1514,425,105,3,5,16,11,51,18,51,13,948
R16210,ïxéRåß,ìÏìvés,51327,24423,26904,50713,24242,26471,5622,2910,2712,27152,13667,13485,18513,7819,10694,10028,3641,6387,602,253,749,713,1045,16594,16555,49942,8042,3326,4494,2241,1752,151,39,66864,15527,2904,53,0,2,362,420,9,24,54,740,47,38,89,319,216,83,169,25,254,23048,698,0,7,2625,8449,100,222,980,3246,444,135,301,1419,729,268,2240,225,960,1548,724,86.7,3.7,35826502,6767481,33505883,7676917,4875360,3947526,284089,0,0,9,159,2153,8,126,1218,0,0,0,0,3,974,27029,14503,12526,713,478,235,17843,6458,11385,1883,10014,15030,32,5,51193,1201,671,220,5,4,31,17,90,23,95,14,1534
R16211,ïxéRåß,éÀêÖés,92308,44770,47538,90666,43936,46730,12368,6341,6027,53154,26899,26255,26457,11320,15137,12195,4483,7712,1502,614,1050,1905,2005,32115,32054,90413,18695,6921,7975,3967,2836,333,115,10943,9755,4089,26,9,4,494,433,6,13,170,1103,62,99,109,361,374,136,278,42,370,42321,428,147,31,3165,11919,321,257,4382,7996,510,402,476,2418,1613,1206,4085,497,2468,636,322,85.9,9.8,41419068,13887463,40267414,12204541,5073820,4416157,41997,4,202,16,328,4834,6,181,2600,0,0,0,0,3,1264,46605,25611,20994,1501,982,519,30290,10938,19352,1099,14449,30472,1,4,93194,1275,845,305,15,4,54,33,133,53,207,26,3081
R16321,ïxéRåß,èMã¥ë∫,2982,1421,1561,2975,1418,1557,549,280,269,1833,895,938,599,245,354,329,112,217,7,30,34,116,100,910,908,2888,674,90,172,76,40,14,1,347,347,73,3,0,0,12,7,0,0,2,14,1,3,3,2,4,4,11,1,6,635,32,0,0,33,190,0,0,24,126,5,34,14,8,6,6,138,4,15,63,18,92,10.8,1804809,395919,1721220,452765,299203,235070,0,0,0,1,14,216,1,17,118,0,0,0,0,0,0,1586,851,735,36,21,15,807,266,541,67,490,1028,0,1,3097,0,11,2,0,0,2,2,1,2,1,0,0
R16322,ïxéRåß,è„ésí¨,20930,10002,10928,20738,9917,10821,2302,1187,1115,11581,5832,5749,7034,2973,4061,3407,1278,2129,191,101,336,316,466,7395,7381,20550,4310,1540,2180,1049,881,63,19,23671,6652,831,4,0,4,105,87,0,4,19,217,14,16,29,66,91,34,70,6,65,7612,19,0,16,547,3115,0,32,512,1061,158,52,85,405,241,174,863,105,227,626,221,83.1,15.6,10125441,2766708,9804681,2973348,1383360,851753,33147,0,0,7,86,829,1,36,473,0,0,0,0,1,466,10496,5728,4768,376,277,99,7526,2683,4843,460,3862,6108,12,2,20611,1440,194,48,1,1,11,6,37,8,101,10,559
R16323,ïxéRåß,óßéRí¨,26317,12663,13654,26168,12601,13567,3131,1596,1535,14745,7462,7283,7891,3304,4587,3916,1398,2518,130,140,323,404,534,9159,9142,25954,5207,1906,2351,1129,876,90,36,30729,16153,903,19,0,2,146,131,0,3,26,213,9,14,23,65,67,22,74,9,80,8524,276,0,4,776,3178,0,11,447,1304,82,71,69,634,237,162,946,39,288,903,285,87,13.7,12606540,3319474,11939575,3384906,1689924,768249,17208,0,0,8,101,1251,1,42,678,0,0,0,0,1,471,13700,7531,6169,383,267,116,8380,2871,5509,814,4432,8328,13,1,26145,1245,185,37,2,1,13,8,17,8,35,9,773
R16342,ïxéRåß,ì¸ëPí¨,25335,12096,13239,25018,11976,13042,2742,1367,1375,14093,7178,6915,8442,3518,4924,4323,1550,2773,303,100,383,367,504,8628,8608,24743,4493,1857,2351,1054,889,72,16,7125,6204,1043,29,7,2,158,98,1,1,20,252,14,22,23,89,118,28,81,20,80,9664,270,141,9,851,3726,3,1,299,1274,125,59,66,514,292,79,1236,187,532,912,140,85.5,13.1,11915717,3429139,11344864,3173600,1065503,1598318,99825,1,12,6,93,1044,2,54,568,0,0,0,0,1,447,13099,7128,5971,444,309,135,8803,3148,5655,883,5387,6786,11,1,24931,1094,225,75,1,2,14,7,23,9,24,9,723
R16343,ïxéRåß,í©ì˙í¨,12246,5695,6551,12140,5680,6460,1094,584,510,6141,3084,3057,5011,2027,2984,2685,947,1738,106,38,208,187,263,4514,4502,11932,2351,1080,1499,729,713,28,15,22630,7573,637,8,2,0,106,46,0,1,8,152,5,32,12,62,76,20,37,9,61,3802,77,12,0,501,834,0,2,112,675,41,47,31,344,230,36,490,55,315,329,202,94.9,12.8,10479136,1778753,9857726,1936459,926442,1370298,130800,0,0,2,38,392,1,21,245,0,0,0,0,1,310,6011,3205,2806,184,134,50,4949,1767,3182,317,2123,3536,11,1,12127,1091,138,45,0,2,3,6,24,8,22,4,306
R17201,êŒêÏåß,ã‡ëÚés,465699,226007,239692,459419,222925,236494,59946,30632,29314,282984,141759,141225,114346,48530,65816,53110,19601,33509,3830,3342,4668,14273,15060,199572,199185,450265,104625,76931,38239,20435,19497,2426,636,46864,19224,26268,57,11,6,2327,1911,10,374,609,6928,572,1779,1283,3532,2066,954,1687,114,2048,251418,429,76,39,18396,23591,608,8729,14403,56300,8702,6521,7151,27239,10157,9456,32004,1407,26210,1719,944,89.6,7.1,181459419,82079625,178691493,63929232,22157361,23795476,344030,31,3843,56,1434,24045,29,795,12131,0,0,0,0,20,17503,226800,123527,103273,7644,4775,2869,142306,51263,91043,2982,46465,161077,62,8,453739,3028,4450,3145,71,37,413,224,1917,351,1479,103,11404
R17202,êŒêÏåß,éµîˆés,55325,26218,29107,54354,25860,28494,6041,3065,2976,29571,14750,14821,18940,7973,10967,9540,3441,6099,419,276,787,938,1353,20855,20781,52998,10716,5881,5513,2883,2638,157,56,31829,11441,3324,21,5,3,327,311,3,17,73,883,59,117,89,483,317,85,211,45,275,25160,215,188,22,1801,3952,276,74,1211,4903,579,270,408,3178,1171,447,3884,448,2133,1586,1051,94.9,16.6,31926960,7882951,31091126,8240330,2340884,2637129,610865,0,0,10,172,2251,4,94,1239,0,0,0,0,5,1826,27105,14346,12759,1148,817,331,19604,7231,12373,1592,6748,18283,0,1,53125,2231,675,340,4,6,40,30,185,37,116,23,1673
R17203,êŒêÏåß,è¨èºés,106919,51844,55075,103700,50272,53428,14691,7428,7263,60708,30555,30153,28772,12424,16348,13428,5128,8300,1268,805,1150,2799,2936,38166,38087,104096,22299,8873,9087,4809,3503,483,138,37105,11205,5548,21,1,1,585,959,7,37,109,1329,72,211,235,655,489,163,315,43,316,50024,207,1,5,2915,15720,240,412,1953,8868,805,728,1605,4733,2148,1471,5683,651,1879,829,299,91.2,15.6,47272307,17002775,46566202,14597699,6372862,6640085,11119,7,515,23,428,5834,10,234,2963,0,0,0,0,7,4529,54647,30027,24620,1692,1045,647,31727,11223,20504,1146,20224,31617,35,3,108733,2728,1022,570,14,10,72,46,209,65,214,33,3801
R17204,êŒêÏåß,ó÷ìáés,27216,12795,14421,27052,12733,14319,2283,1152,1131,13198,6896,6302,11715,4733,6982,6667,2364,4303,163,98,519,580,853,10649,10597,25559,5449,3056,3505,2062,1995,75,33,42632,10044,1762,18,9,0,139,350,2,6,28,485,20,21,32,228,130,16,76,21,181,9412,177,225,0,1043,1837,37,26,335,1968,184,73,93,1011,357,287,1071,213,475,951,947,96.8,10.1,21030118,2516398,20748343,4584745,2957056,1621972,370586,0,0,10,100,828,4,54,484,0,0,0,0,3,1196,12322,6678,5644,458,315,143,11980,4558,7422,1549,2876,7598,19,3,27298,6921,447,165,2,1,25,12,38,18,41,12,645
R17205,êŒêÏåß,éÏèFés,14625,6762,7863,14560,6738,7822,1157,577,580,6642,3425,3217,6816,2751,4065,3832,1355,2477,65,54,263,199,312,5861,5848,14306,2858,1649,1989,1174,1129,23,6,24720,6060,1014,13,2,0,133,105,3,5,19,293,14,12,25,104,94,17,34,23,118,5578,114,32,0,767,1245,35,13,160,1120,93,30,72,460,212,22,612,224,367,635,769,95,13.6,11535938,1519858,11338874,2213546,1254976,2089472,224214,1,0,7,65,337,2,32,192,2,31,69,37,1,353,6841,3725,3116,232,178,54,6380,2271,4109,838,1801,4195,10,1,14470,2696,258,69,0,1,11,5,25,6,15,8,322
R17206,êŒêÏåß,â¡âÍés,67186,31420,35766,66608,31215,35393,7749,3911,3838,36992,18257,18735,22262,9170,13092,10848,3884,6964,510,339,964,1357,1751,24841,24770,64741,13354,6794,6501,3322,3445,240,92,30587,9182,3666,15,3,1,315,825,0,9,42,847,40,132,64,504,327,65,247,26,204,29323,122,34,4,1481,9232,0,138,807,4963,376,375,177,4452,1480,186,3698,557,1241,934,173,90.6,8.3,30992235,9614755,30041814,11474419,3075020,2864422,4212,1,29,18,269,3045,6,132,1643,0,0,0,0,4,965,34057,17853,16204,1769,1122,647,22467,7986,14481,1206,12101,20223,22,2,67357,2049,671,399,6,4,47,25,124,33,107,30,2346
R17207,êŒêÏåß,âHçÓés,21729,10288,11441,21661,10275,11386,2272,1126,1146,11340,5684,5656,7922,3358,4564,3956,1443,2513,67,112,303,409,582,8066,8045,21307,4431,1947,2408,1363,1092,62,25,8185,5269,1170,13,2,0,127,129,0,4,30,284,12,33,25,139,117,36,95,17,107,8699,97,12,0,709,2393,0,13,393,1589,186,110,96,686,416,202,1041,253,503,602,217,89.7,11.5,11192346,2741981,11103426,3087560,1352740,1089716,140478,0,0,6,88,842,2,41,459,0,0,0,0,3,1007,10300,5702,4598,445,306,139,8357,2946,5411,601,3260,6282,11,1,21760,1121,238,111,2,1,19,15,36,19,37,10,622
R17209,êŒêÏåß,Ç©ÇŸÇ≠és,34219,16396,17823,33973,16256,17717,4681,2393,2288,19682,9731,9951,9812,4244,5568,4523,1681,2842,227,300,381,1096,836,11604,11580,33324,6871,2401,2961,1462,997,139,55,6444,4007,1685,8,0,1,180,491,0,5,35,378,17,40,40,126,146,44,85,8,81,13944,58,0,2,874,5254,0,11,457,3036,175,93,388,943,640,232,1189,78,514,372,295,92.5,11.5,16433185,4205829,15891558,4982490,1828342,2193172,30043,0,0,6,134,1828,3,76,986,0,0,0,0,0,0,17538,9422,8116,583,383,200,11145,4046,7099,449,6503,10357,21,1,35330,153,320,113,1,2,21,9,43,16,46,9,1107
R17210,êŒêÏåß,îíéRés,109287,53085,56202,108537,52640,55897,15721,7941,7780,65303,32561,32742,27915,12360,15555,12118,4649,7469,651,827,1072,2979,2932,38439,38381,107849,24470,7764,9374,4820,2944,386,163,75493,19817,4757,73,2,4,626,682,3,42,179,1091,63,140,180,483,362,154,325,32,316,54992,976,2,30,3328,20255,86,988,5016,9143,572,485,960,3368,1299,923,3917,643,3001,995,499,95.2,11,50199458,19664987,48904680,16191752,5467206,6625632,20569,6,736,19,423,6379,10,236,3271,0,0,0,0,4,1229,57053,31309,25744,1948,1255,693,33278,11815,21463,1643,18243,36160,28,5,113568,2138,831,363,7,4,68,32,155,45,233,31,3710
