SSDSE-A-2021,prefecture,municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
R11342,çÈã åß,óíéRí¨,18341,9209,9132,18071,9071,9000,1894,975,919,10921,5686,5235,5405,2470,2935,2265,943,1322,239,74,249,576,555,6968,6935,17499,4216,1828,1980,969,696,40,27,2992,2047,705,1,0,0,104,83,1,7,10,153,6,44,31,74,67,26,52,4,42,8494,55,0,0,405,3306,3,19,380,1162,43,120,80,390,350,374,1353,38,416,195,290,88.8,9,6318991,2844467,6082062,1999379,566436,496031,11745,1,76,3,56,699,3,58,580,0,0,0,0,1,350,8860,5132,3728,394,280,114,6798,2577,4221,294,2895,5422,0,1,17984,366,132,66,4,2,11,9,15,13,19,4,282
R11343,çÈã åß,è¨êÏí¨,31178,15487,15691,30979,15405,15574,2817,1458,1359,18392,9427,8965,9908,4543,5365,4554,1835,2719,199,94,414,631,804,12007,11990,30734,7740,2738,3760,1901,1346,76,34,6036,2729,1191,6,0,2,131,174,2,4,18,299,14,56,41,135,101,45,91,10,62,9424,93,0,24,510,2283,5,8,274,1748,150,117,128,657,650,133,1534,182,928,298,465,91.8,6.3,8926556,3703806,8695255,3268568,753932,809161,0,2,118,6,98,1062,3,57,601,0,0,0,0,1,618,15454,8816,6638,808,582,226,11886,4485,7401,379,4592,10132,4,1,30186,3436,241,126,3,3,26,17,64,18,83,5,353
R11346,çÈã åß,êÏìáí¨,20788,10532,10256,20592,10448,10144,2223,1165,1058,12387,6458,5929,6169,2903,3266,2676,1085,1591,196,86,251,466,637,7238,7234,20362,4646,1355,2195,1006,616,54,31,4163,4163,900,5,0,0,168,189,0,5,53,161,4,19,17,88,53,20,35,7,76,11065,40,0,0,714,4357,0,8,2085,1393,31,109,101,506,145,108,661,59,748,787,443,86.9,4.6,7013227,3404675,6699053,2117214,825151,836519,0,1,192,4,72,831,2,43,466,0,0,0,0,0,0,10519,6184,4335,388,274,114,6871,2476,4395,673,3145,5895,7,1,20361,223,106,78,4,1,12,9,19,12,20,2,155
R11347,çÈã åß,ãgå©í¨,19631,9807,9824,19501,9747,9754,1863,946,917,12275,6349,5926,5471,2497,2974,2380,942,1438,117,59,247,481,531,6834,6825,19259,4535,1176,1961,879,544,62,31,3864,3628,646,6,0,0,145,104,2,2,25,127,4,14,17,52,45,12,37,8,46,7536,49,0,0,637,2848,5,2,441,1887,17,44,148,250,249,76,508,66,309,642,448,89.4,6.4,6939544,2777913,6473139,1896086,802067,750758,442,1,101,6,78,695,1,30,386,0,0,0,0,0,0,10451,6027,4424,449,305,144,6646,2401,4245,666,3122,6257,5,1,19195,410,91,46,2,0,6,6,10,7,45,1,241
R11348,çÈã åß,îµéRí¨,14338,7002,7336,14264,6977,7287,1153,602,551,7599,3780,3819,5583,2618,2965,2221,938,1283,73,41,191,331,368,5309,5292,13755,3824,871,2251,1228,530,32,20,2573,1642,419,3,0,0,78,53,1,3,10,75,2,12,24,23,38,31,36,3,27,3500,15,0,0,397,349,6,16,324,374,5,52,115,77,432,414,763,30,131,202,187,94.6,9.3,5203730,1742047,5119328,1465085,389171,415975,0,1,35,3,39,417,1,22,259,0,0,0,0,1,372,6418,3671,2747,369,257,112,6290,2409,3881,213,1662,4370,2,1,13679,42,55,21,0,1,5,6,10,7,13,2,221
R11349,çÈã åß,Ç∆Ç´Ç™ÇÌí¨,11492,5756,5736,11378,5686,5692,1017,514,503,6739,3511,3228,3734,1729,2005,1765,691,1074,114,37,166,212,284,4199,4186,11252,2656,856,1372,624,427,28,16,5590,1676,541,4,0,0,76,162,0,3,14,107,2,5,10,45,34,8,36,5,30,5048,15,0,0,279,2321,0,3,182,532,13,12,24,213,240,21,486,31,676,124,370,87.4,4.6,5693250,1391442,5509037,1590474,244428,777827,2646,1,58,3,38,413,2,28,216,0,0,0,0,0,0,5898,3384,2514,277,208,69,4278,1634,2644,216,2159,3486,2,1,11315,892,87,41,0,0,7,5,4,4,8,4,250
R11361,çÈã åß,â°ê£í¨,8519,4205,4314,8469,4192,4277,1031,509,522,4886,2531,2355,2595,1159,1436,1351,535,816,44,48,138,248,283,3074,3070,8289,1871,673,846,434,324,24,14,4936,852,329,0,0,4,54,43,0,0,16,50,1,34,9,38,31,6,21,3,19,2629,0,0,81,276,591,0,0,273,382,15,58,62,220,126,75,373,18,79,67,171,88.9,7.4,3406515,1156532,3259621,1018211,329194,351911,0,0,0,1,26,392,1,17,203,0,0,0,0,0,0,4032,2364,1668,147,102,45,3272,1204,2068,149,1336,2483,1,1,8284,338,43,25,1,0,4,2,3,5,3,1,51
R11362,çÈã åß,äFñÏí¨,10133,4958,5175,10100,4951,5149,1144,581,563,5538,2845,2693,3442,1525,1917,1793,692,1101,31,35,140,232,248,3662,3653,9811,2201,801,1106,571,496,25,16,6374,1716,545,3,0,2,74,53,0,1,23,145,4,33,14,62,42,16,30,5,38,4193,17,0,46,300,695,0,7,359,1000,52,75,78,316,236,58,629,35,290,72,328,85.3,6.6,4132039,1078486,3949024,1250821,490832,427640,8833,1,50,3,45,458,1,22,213,0,0,0,0,1,102,4759,2732,2027,231,164,67,3976,1466,2510,188,1569,2965,1,0,9799,180,119,42,2,2,7,6,13,9,15,2,228
R11363,çÈã åß,í∑ì“í¨,7324,3559,3765,7308,3554,3754,775,419,356,3984,2023,1961,2564,1116,1448,1284,501,783,16,13,121,158,181,2648,2642,7134,1621,538,824,425,348,17,8,3043,885,408,2,0,0,36,62,1,1,13,79,1,17,12,81,42,7,25,3,26,2702,8,0,0,114,784,4,3,109,371,3,43,96,384,256,18,373,26,110,52,269,91.9,12.6,3372519,818090,3258747,918083,507271,311809,0,1,42,2,26,285,1,20,165,0,0,0,0,0,0,3588,1994,1594,158,110,48,2792,1028,1764,116,1158,2204,1,0,7190,55,67,63,0,0,5,3,6,3,5,2,171
R11365,çÈã åß,è¨é≠ñÏí¨,12117,5938,6179,12026,5910,6116,1367,712,655,6712,3458,3254,4037,1767,2270,2233,851,1382,91,34,180,154,244,4363,4345,11752,2559,950,1262,655,576,28,12,17126,2942,628,7,0,1,112,111,1,1,11,143,4,6,17,72,54,10,37,4,37,4688,112,0,10,388,1929,12,1,187,694,55,11,54,404,157,19,527,18,110,167,537,85.5,8,7193400,1304053,6699387,1871918,335060,701844,0,1,49,4,60,539,1,27,304,0,0,0,0,1,209,5991,3399,2592,238,176,62,4515,1647,2868,386,2311,3270,5,2,11782,714,120,56,1,1,10,6,16,7,14,3,228
R11369,çÈã åß,ìåíÅïÉë∫,2915,1474,1441,2905,1470,1435,227,117,110,1643,852,791,1044,505,539,531,222,309,9,5,49,56,81,1028,1027,2877,573,204,322,153,128,5,2,3706,742,132,0,0,1,28,37,0,1,3,20,1,0,1,11,10,1,6,3,9,699,0,0,41,67,224,0,1,20,78,1,0,1,33,53,1,142,18,19,53,240,90.4,0.7,2161205,244338,2034110,415887,140254,159554,0,0,0,1,14,81,1,11,51,0,0,0,0,0,0,1377,794,583,64,37,27,1220,515,705,77,470,766,1,1,2843,218,18,10,0,0,0,0,2,0,0,1,33
R11381,çÈã åß,î¸ó¢í¨,11207,5593,5614,11139,5566,5573,1279,656,623,6592,3437,3155,3336,1500,1836,1696,655,1041,68,52,209,408,304,3612,3593,10650,2265,567,1022,448,300,33,17,3341,2576,412,9,0,0,62,84,0,1,19,79,4,3,9,31,32,4,35,3,37,5764,67,0,0,283,3025,0,1,352,807,15,4,86,126,167,15,474,25,317,605,411,82.3,5.7,5049753,1792475,4607502,1402270,386852,381032,0,1,76,3,49,535,1,22,258,0,0,0,0,0,0,5634,3224,2410,250,179,71,3903,1463,2440,531,1819,2883,4,1,11228,458,63,29,1,0,8,5,5,6,24,4,339
R11383,çÈã åß,ê_êÏí¨,13730,6968,6762,13435,6802,6633,1575,811,764,8253,4345,3908,3808,1743,2065,1817,714,1103,188,61,218,380,433,5033,5015,13223,2985,1294,1234,568,490,40,20,4740,2673,486,12,0,1,71,79,1,0,19,91,1,19,6,51,35,13,43,4,40,5079,115,0,7,371,2015,3,0,358,537,2,39,55,218,262,95,684,28,290,342,263,88.1,5.8,6909812,1762257,6554436,1435731,425377,586443,0,1,84,4,56,632,1,25,318,0,0,0,0,0,0,7020,4039,2981,305,208,97,4491,1678,2813,606,2601,3499,1,0,13646,845,62,43,0,0,9,6,6,6,27,3,228
R11385,çÈã åß,è„ó¢í¨,30565,15090,15475,29698,14664,15034,4242,2163,2079,19034,9666,9368,7270,3247,4023,3122,1179,1943,854,172,340,987,988,11225,11191,29861,7323,2485,2640,1274,925,119,53,2918,2912,1032,6,0,2,115,120,0,5,31,261,10,40,22,123,113,34,86,3,61,12071,68,0,31,567,4554,0,26,327,2427,60,117,103,1179,526,146,1274,51,615,472,295,86.7,7.7,10193942,3954363,9371286,3639241,508587,1523075,0,2,167,5,120,1613,2,66,910,0,0,0,0,0,0,15298,8561,6737,812,542,270,9515,3437,6078,978,5244,8467,6,1,31086,1620,215,112,7,0,23,14,18,15,36,7,555
R11408,çÈã åß,äÒãèí¨,34081,16929,17152,33796,16807,16989,3680,1884,1796,20339,10455,9884,9996,4529,5467,4635,1870,2765,279,159,439,981,1105,12934,12910,33427,7890,3174,3591,1706,1424,111,55,6425,4005,1175,11,0,2,138,147,1,2,29,270,13,34,33,139,112,30,114,10,90,13323,145,0,38,710,4534,34,3,372,2214,154,108,195,667,534,173,1703,181,1558,407,733,84.9,4.4,11510452,5008014,11023252,4024600,898267,1065819,0,1,262,6,109,1358,3,69,761,0,0,0,0,1,655,16758,9571,7187,875,615,260,12057,4450,7607,735,5335,9936,8,1,33781,1927,225,119,3,2,22,18,33,33,35,8,688
R11442,çÈã åß,ã{ë„í¨,33705,17138,16567,33298,16938,16360,3581,1777,1804,19920,10603,9317,10096,4676,5420,4298,1908,2390,292,226,379,1304,1271,13728,13710,33219,8372,4004,4033,2061,1279,124,55,1595,1567,999,1,0,0,120,66,1,4,17,217,9,105,36,123,131,41,76,4,48,7141,37,0,0,767,491,8,26,536,1252,75,248,132,722,405,1084,1053,30,275,365,265,93.7,6.5,10344542,3764523,9756683,3592123,933846,1041750,0,4,387,4,89,1477,3,58,711,0,0,0,0,1,590,15581,9281,6300,736,501,235,12860,4990,7870,315,3551,10861,3,1,34151,512,185,107,3,0,16,15,17,16,47,4,352
R11464,çÈã åß,êôåÀí¨,45495,22798,22697,45084,22611,22473,5341,2817,2524,27097,13819,13278,12993,6119,6874,5079,2235,2844,350,186,455,1229,1332,17348,17321,44909,11677,3860,5288,2639,1571,126,65,3003,2999,1438,4,1,0,181,170,0,7,69,364,18,75,39,122,132,53,103,7,93,14375,51,8,0,1082,2118,0,20,2698,2818,227,273,967,801,536,424,1222,201,929,634,176,91.6,8.6,12408694,5350796,12097634,4296715,927971,1934305,0,4,574,6,127,2094,4,98,1473,0,0,0,0,3,3273,21606,12676,8930,963,647,316,16389,5989,10400,608,5451,14354,5,1,45184,829,271,106,6,1,22,16,27,19,55,6,491
R11465,çÈã åß,èºïöí¨,30061,15072,14989,29793,14955,14838,3883,2011,1872,18400,9495,8905,7716,3521,4195,3088,1271,1817,225,104,298,718,974,10702,10672,29471,7411,1977,2982,1393,878,91,62,1620,1618,1031,4,0,0,176,223,0,5,46,178,8,80,23,67,75,28,50,3,65,8067,36,0,0,718,2104,0,74,1182,1681,64,143,58,285,333,175,891,47,276,185,89,88,7.7,8602452,3125881,8126465,3076553,763450,1007980,994,1,135,3,81,1460,2,55,818,0,0,0,0,1,612,14709,8585,6124,735,500,235,9856,3492,6364,272,4169,9502,1,0,29671,1048,125,58,3,3,10,11,26,12,53,5,401
R12100,êÁótåß,êÁótés,971882,482840,489042,940070,467289,472781,122062,62311,59751,597580,303486,294094,238213,108536,129677,103430,44395,59035,16506,6192,9340,46801,43413,417857,416827,953753,251089,140014,93703,48665,43847,4434,1630,27178,21359,29326,48,2,1,2803,1055,36,351,784,7505,605,2196,1504,3575,2783,1118,2840,117,2003,406378,466,12,2,28732,26658,1171,14725,25010,86137,16457,12048,15791,38959,18006,18703,53020,2231,48250,1090,923,98.6,13.8,438077423,197202349,434557617,153028419,43737983,74589862,0,86,12508,114,2712,48362,60,1670,25394,0,0,0,0,29,28403,430638,246567,184071,19985,13373,6612,307677,110588,197089,2964,76076,324932,47,16,969544,3207,5290,3057,146,41,684,557,2857,970,2751,158,13912
R12202,êÁótåß,í∂éqés,64415,31005,33410,62556,30118,32438,5780,2969,2811,36797,18842,17955,21627,9069,12558,11251,4106,7145,1708,203,1009,927,1575,26234,26203,63270,13052,8516,6750,3146,3434,171,74,8420,6954,3672,28,4,0,345,344,3,14,87,1098,69,181,75,530,345,91,230,24,204,25969,249,142,0,1435,5480,117,71,1273,6180,920,382,330,2849,1242,479,2895,474,1451,1007,131,95.3,13.3,23109079,8113625,22899611,8189116,1570982,2725435,34822,6,303,12,196,2182,7,131,1228,0,0,0,0,3,2231,30923,17148,13775,1543,1038,505,24732,9074,15658,3307,8844,18072,1,1,61940,10844,832,467,7,5,36,40,74,44,160,11,906
R12203,êÁótåß,ésêÏés,481732,242652,239080,439737,220255,219482,49931,25515,24416,284939,145500,139439,104735,48042,56693,43608,18341,25267,6479,3901,3732,26605,25014,228845,228569,477174,114458,92894,40821,20298,23955,3230,774,5745,5622,11783,9,1,0,976,594,2,104,388,2713,144,1288,378,1646,1202,484,1205,46,603,116785,58,3,0,7555,9626,735,970,13376,24750,2169,5163,2040,11981,5735,5954,17255,502,8913,330,126,89.7,1.3,144856139,84062055,138593849,66645785,11591125,14357763,0,38,5390,41,1160,23285,20,698,11765,1,30,148,213,14,11804,217193,125695,91498,8278,5367,2911,121246,39995,81251,1259,36404,165420,16,6,487305,4244,2122,1430,54,11,311,271,700,373,883,84,6884
R12204,êÁótåß,ëDã¥és,622890,311358,311532,606058,303592,302466,82258,42346,39912,391731,201753,189978,142446,63907,78539,63063,26952,36111,11074,4459,5345,28626,25360,272432,272028,614815,160380,96335,58117,29477,24910,3334,956,8562,8212,15603,19,4,0,1347,695,9,155,433,3879,257,1163,638,2211,1679,632,1565,57,860,189232,94,34,0,11409,18838,605,2341,15722,40436,4827,7238,3536,21156,9167,6618,25644,1055,20512,754,225,96,0,206897639,100167348,203251444,88010959,20457535,23343179,0,42,8342,55,1656,34301,28,908,15776,0,0,0,0,15,14216,286205,166626,119579,11476,7392,4084,188003,65125,122878,2388,48753,216249,26,4,639223,2200,2954,1918,90,19,357,325,980,458,1612,91,10316
R12205,êÁótåß,äŸéRés,47464,22775,24689,47082,22620,24462,5205,2701,2504,24640,12386,12254,17486,7589,9897,8770,3362,5408,309,202,728,1719,1872,20146,20064,45470,11050,6580,5775,3293,3386,174,75,11005,6202,2776,17,3,0,250,115,1,18,41,712,52,127,88,566,280,88,213,20,185,19351,189,41,0,1105,959,98,117,744,4929,618,377,380,3106,968,365,3858,497,1000,803,573,96.5,6,18276919,5815553,17479496,6862617,1291763,1586591,47715,7,293,10,190,2006,4,91,1029,0,0,0,0,3,1430,21863,11932,9931,940,635,305,18722,7058,11664,1682,2998,16843,12,1,46934,5476,576,436,11,4,42,25,123,44,114,9,578
R12206,êÁótåß,ñÿçXí√és,134141,67450,66691,131502,66428,65074,17688,9058,8630,80841,42257,38584,34730,15640,19090,15047,6174,8873,1671,931,1389,5360,4845,54920,54827,130603,32046,17399,12762,6676,5458,629,259,13895,9556,5251,16,2,5,610,200,4,37,133,1480,105,223,215,778,524,168,380,31,340,51054,154,33,60,4930,4241,157,415,2919,12611,1308,1058,1348,6621,2451,1888,5945,623,4292,938,486,93.4,3.3,44873808,19919603,43101230,16543323,3948532,5435817,1463,12,2057,19,460,7501,14,337,3960,0,0,0,0,6,5746,63757,37436,26321,2748,1819,929,43839,15729,28110,1812,15488,44042,17,1,135216,4934,1171,681,21,10,91,62,336,101,296,16,1821
R12207,êÁótåß,èºåÀés,483480,240928,242552,469318,233663,235655,56055,28663,27392,296656,151284,145372,121666,55317,66349,52983,22562,30421,9063,3413,4551,20390,18441,215627,215322,476629,122358,80065,47416,23881,25317,2393,813,6138,5950,12698,18,0,0,1119,760,9,112,193,2996,174,1028,478,1824,1433,547,1396,53,558,126858,179,0,0,8350,13128,244,867,6553,28498,2498,3838,2387,14905,8128,5984,22698,1663,6938,552,216,93,1,151685156,69069424,145800104,73365072,13226201,14177138,0,43,6207,46,1192,23284,23,685,11425,0,0,0,0,10,9197,222511,128457,94054,10017,6563,3454,145952,49786,96166,1699,39345,165991,2,21,496328,2388,2284,1593,49,17,280,269,891,756,1265,63,6538
R12208,êÁótåß,ñÏìcés,153583,76541,77042,150905,75417,75488,19075,9813,9262,91030,46761,44269,42678,19608,23070,17359,7164,10195,1638,775,1637,4336,4233,59712,59638,151028,37546,15727,16538,8341,5513,564,296,10355,9587,4804,19,0,0,575,611,4,12,262,1158,46,270,128,466,446,132,355,24,296,54393,187,0,0,2930,12207,158,72,7834,9753,612,923,983,3652,2897,2359,6422,493,2911,878,869,94.1,5.9,50211722,23286923,48663396,19370038,5374612,5011480,10475,11,1626,20,468,7784,12,293,4183,0,0,0,0,4,2655,72703,41981,30722,3172,2167,1005,52396,19173,33223,1410,18780,48572,11,4,154474,5110,868,405,18,5,77,82,197,119,328,16,1736
R12210,êÁótåß,ñŒå¥és,89688,44170,45518,88103,43435,44668,9596,4843,4753,51480,26092,25388,26767,12096,14671,12027,4883,7144,831,458,1169,2797,2913,36026,35973,87939,21671,9951,9909,5059,3802,358,139,9992,8289,3303,13,0,2,341,159,4,15,48,895,69,123,117,492,409,98,298,19,201,33661,225,0,151,2252,5991,222,45,1196,7949,887,416,620,3739,1865,702,4534,569,2298,1164,458,94.8,10.1,29191590,12831139,28846659,10913892,2809282,2712525,34073,8,730,14,284,3910,7,166,2089,0,0,0,0,4,2747,40562,22963,17599,1952,1346,606,32256,11969,20287,1298,10430,26802,3,1,89870,3703,720,434,20,7,61,60,110,78,246,12,1365
R12211,êÁótåß,ê¨ìcés,131190,65928,65262,126696,63733,62963,18347,9493,8854,83806,43164,40642,27531,12361,15170,12288,4757,7531,2755,895,1153,6218,7109,55462,55371,128408,28836,21053,9392,4511,3964,687,226,21384,16561,5350,39,2,2,439,233,3,39,408,1470,119,329,155,756,498,140,329,32,357,87039,469,24,21,3055,8039,210,617,20955,13577,1891,1504,916,8842,4053,1373,6638,636,14219,1651,511,84.3,6.7,63421835,33424022,60376685,18119097,6188139,8673270,19,10,1645,25,497,7343,10,279,3737,1,41,266,122,5,3753,64519,36778,27741,2239,1462,777,35781,12505,23276,2451,9496,47951,13,3,133435,2515,1170,643,22,4,85,65,347,92,355,23,2331
R12212,êÁótåß,ç≤ëqés,172739,84434,88305,170417,83519,86898,20505,10641,9864,102334,50655,51679,49464,22961,26503,20087,8643,11444,1836,886,1805,4999,5368,68696,68624,170093,46971,16494,20686,11206,6529,635,240,10369,8211,4381,15,0,1,409,236,4,29,100,1070,53,233,207,544,492,235,468,23,261,49722,167,0,1,2618,9139,172,167,3411,10190,659,999,1365,4750,2828,1595,9290,197,2169,827,339,94.1,1.9,48473768,24749195,46722897,19483705,3486297,5896898,0,11,1848,23,508,8362,11,297,4127,0,0,0,0,4,2949,78540,45079,33461,3268,2199,1069,63597,22928,40669,1209,14995,58417,6,4,175904,1334,832,462,17,6,119,92,430,125,461,25,1958
R12213,êÁótåß,ìåã‡és,60652,30219,30433,58669,29379,29290,6847,3503,3344,37906,19451,18455,15418,6953,8465,6829,2628,4201,1529,289,674,2354,2518,25114,25074,59738,13769,8353,5540,2690,2297,254,115,8912,7154,2322,23,0,0,254,166,1,9,53,596,39,139,73,293,249,68,167,15,177,23783,312,0,0,1467,3904,98,17,1114,5147,428,466,372,2346,1647,868,2761,410,2426,1025,492,92.3,2.8,22745104,7602218,22312638,7713132,1302486,2018757,0,9,607,9,195,2650,4,113,1337,0,0,0,0,3,1705,28118,16075,12043,1555,1090,465,20102,7299,12803,1658,6048,19100,9,1,59341,2939,453,253,10,2,37,29,112,49,137,5,490
R12215,êÁótåß,àÆés,66586,32625,33961,65474,32128,33346,8119,4157,3962,39616,20381,19235,18706,7999,10707,9285,3347,5938,1004,386,831,1363,1506,23350,23273,64988,11643,6075,4944,2143,2175,288,101,13045,11760,3116,88,3,1,442,281,0,6,69,826,35,111,63,404,312,79,195,21,180,25071,1098,133,2,2345,4234,0,13,947,5444,408,337,234,2309,1077,404,4626,349,1111,2185,354,89.7,8.2,32056217,7589543,30340206,8566469,2186207,2380969,0,4,428,15,273,3156,5,136,1628,0,0,0,0,2,888,34378,19122,15256,1752,1188,564,21388,7620,13768,6207,8230,19454,2,2,65851,6127,654,349,5,3,34,33,284,43,150,18,1709
R12216,êÁótåß,èKéuñÏés,167909,84323,83586,165274,83103,82171,22309,11384,10925,107781,56052,51729,37455,16647,20808,16765,7012,9753,2542,1380,1363,8646,8311,72350,72308,165839,43971,24633,15496,7779,6601,799,242,2097,2090,3969,1,0,0,272,149,2,41,132,938,48,379,190,542,449,198,417,14,197,52925,2,0,0,2210,5975,12,583,6508,12083,779,1130,2035,5269,2731,2568,7377,113,3550,81,69,96.3,4.8,61215026,28669962,58800856,23458900,5034653,10580505,0,10,1483,16,464,9031,8,291,4951,0,0,0,0,4,3966,78409,45804,32605,3626,2428,1198,54525,19518,35007,306,13664,60769,7,5,173092,414,745,477,33,5,103,101,331,133,449,19,2085
R12217,êÁótåß,îêés,413954,205971,207983,401194,199307,201887,52766,26941,25825,255018,129752,125266,99189,44996,54193,42271,17873,24398,5153,3031,3618,19752,15214,175691,175469,406996,105651,58724,40638,21179,14510,1881,700,11474,10512,12017,25,0,0,1112,615,3,143,292,3134,192,828,509,1577,1201,556,1112,43,675,144210,226,0,0,7713,11162,219,1474,10668,33451,4298,4222,4020,15739,9013,7110,20016,510,14369,853,557,90.8,2.9,128603320,68028465,122983861,53128060,12874248,13538006,4405,25,5826,42,1155,22116,25,720,11308,0,0,0,0,14,13505,189003,109597,79406,7789,5044,2745,128568,44538,84030,2221,33241,141545,1,18,419155,3722,2307,1368,72,16,250,213,1042,311,1081,58,6133
R12218,êÁótåß,èüâYés,19248,9946,9302,19102,9876,9226,1419,697,722,10555,6092,4463,7265,3152,4113,3832,1445,2387,146,44,312,606,735,8965,8928,18700,3597,4057,2261,1230,1316,45,29,9396,3599,1123,3,1,0,128,62,0,1,22,277,14,106,21,219,114,22,44,8,81,6437,32,19,0,446,639,0,1,195,1353,135,194,67,1422,357,172,1025,123,257,349,207,94.7,7.3,9359336,2133205,9007769,2835125,351894,751702,7989,1,30,5,71,516,1,30,309,0,0,0,0,0,0,8538,4945,3593,455,328,127,8712,3903,4809,830,1413,6205,0,1,17744,2210,215,138,1,1,10,7,32,18,39,3,253
R12219,êÁótåß,éså¥és,274656,141134,133522,268228,138088,130140,32976,16911,16065,167270,88619,78651,70814,33191,37623,29487,12587,16900,3818,1674,2888,7562,8203,113518,113284,270739,66332,36152,27403,13764,10557,1173,469,36817,23357,8658,41,0,3,1322,496,11,39,378,1998,118,388,296,1182,862,254,635,43,592,105391,409,0,29,11744,21796,460,476,8470,18702,1396,1997,3101,8789,5880,2260,11208,509,8165,2142,1519,91.2,6.1,90907524,49477714,86680401,37706409,8863070,8744149,32961,23,3829,42,895,13254,22,535,6717,0,0,0,0,7,4274,126496,76081,50415,5547,3822,1725,89313,32549,56764,2196,35789,80097,11,1,276827,7411,1569,1008,36,11,154,124,492,161,525,27,2488
R12220,êÁótåß,ó¨éRés,174373,86249,88124,171710,84933,86777,24745,12591,12154,106813,54013,52800,41953,19128,22825,17974,7728,10246,1702,2019,1525,11440,7339,70802,70733,171970,46896,19273,17346,9326,5538,1057,294,3532,3260,3936,4,0,0,408,240,5,24,54,950,58,298,121,480,432,187,449,18,208,37600,36,0,0,2487,2903,313,416,1570,9878,706,988,499,4396,2183,1469,8082,169,1505,268,306,89.5,2.5,58311200,27679604,56156066,26420432,6262544,6518829,0,10,2650,17,551,11564,9,270,4435,0,0,0,0,4,3310,82097,47559,34538,3037,2002,1035,56421,19577,36844,702,15359,62007,4,7,189762,1828,773,409,26,5,102,91,227,131,333,38,4193
R12221,êÁótåß,î™êÁë„és,193152,95224,97928,189553,93721,95832,27283,13970,13313,118963,60027,58936,46873,21203,25670,20526,8954,11572,3571,1376,1772,8218,7368,78358,78280,189303,50961,22428,18847,10036,7848,857,292,5139,4570,5118,14,0,1,447,310,4,39,123,1211,63,290,155,741,584,289,563,20,264,60168,104,0,8,3000,9951,102,341,4689,12104,1074,1408,656,5904,3040,3034,10303,188,4262,498,236,97.1,6.4,57078154,29236550,54845337,24201923,3660880,7104432,141,17,2886,22,547,10705,13,349,5794,0,0,0,0,6,7020,85839,49505,36334,3275,2181,1094,62945,22186,40759,1046,16636,63011,9,5,198651,681,972,662,23,6,125,116,395,160,449,23,2248
R12222,êÁótåß,â‰ë∑éqés,131606,64614,66992,129851,63710,66141,16072,8315,7757,77445,38933,38512,37579,17051,20528,16313,7122,9191,1199,716,1252,4517,4098,54089,54042,129748,35608,14908,15397,8377,5927,489,168,4315,3998,2972,5,0,0,289,87,2,58,40,708,44,215,127,374,333,173,366,12,139,27787,26,0,0,1709,1201,39,1757,1147,5690,485,605,1159,2962,1696,1757,5649,339,1566,417,119,94.8,1,38720342,17215181,37614152,16497879,2921300,4147512,155,10,1467,13,388,6198,6,209,3176,0,0,0,0,4,3342,58794,33711,25083,2403,1611,792,46311,16700,29611,781,10160,44537,2,3,132199,1394,581,306,11,8,75,72,142,112,241,18,1815
R12223,êÁótåß,äõêÏés,33932,16079,17853,33500,15917,17583,3524,1856,1668,17985,8724,9261,12295,5438,6857,6440,2532,3908,400,169,577,1086,1152,14453,14412,32681,7087,5231,3799,2020,2121,110,50,19114,7148,1900,11,4,0,186,114,0,4,27,512,24,122,43,384,190,40,87,22,130,16185,46,91,0,953,967,0,12,505,3172,227,282,130,2956,627,657,4751,236,573,965,422,96.2,11.4,16089039,4352944,15619021,4843919,1109399,1485973,93972,3,120,7,117,1330,3,64,639,0,0,0,0,2,593,16794,8870,7924,542,386,156,12161,4537,7624,1805,2183,12552,11,1,33208,5350,396,269,5,6,17,11,418,49,150,6,158
R12224,êÁótåß,äôÉPíJés,108917,53490,55427,107242,52820,54422,13793,7035,6758,65442,32901,32541,29115,13304,15811,12110,5298,6812,997,688,1054,4428,4160,44101,44072,107164,28772,12164,12041,5992,4203,549,182,2108,2013,2994,1,0,0,416,265,0,23,68,613,33,242,97,334,319,135,304,9,135,26478,3,0,0,2365,2801,0,140,1677,5806,465,643,408,2735,1533,889,5393,251,1369,295,86,95.9,2,35909883,13800615,33838486,13712854,3184445,4407891,0,9,1925,9,284,5527,5,168,2652,0,0,0,0,2,1697,50116,28814,21302,2512,1671,841,36445,12722,23723,827,9884,36927,5,1,109962,2305,507,289,12,5,62,62,173,83,253,9,1107
