"pref","year","suicide","unemp"
"島根",2003,31.6,3
"岡山",2003,20.5,4.4
"広島",2003,22.8,4.5
"山口",2003,27.5,4.4
"徳島",2003,20.3,5.1
"香川",2003,22.3,4.2
"愛媛",2003,26.7,4.9
"高知",2003,29.4,5.2
"福岡",2003,26.9,6.8
"佐賀",2003,24.9,4.9
"長崎",2003,30,5.3
"熊本",2003,26.9,5.1
"大分",2003,25.5,4.7
"宮崎",2003,31.8,5.4
"鹿児島",2003,27.2,5
"沖縄",2003,26.1,7.8
"北海道",2004,26.5,5.8
"青森",2004,38.3,6.2
"岩手",2004,34.6,5
"宮城",2004,25.7,5.6
"秋田",2004,39.1,4.6
"山形",2004,30.3,3.9
"福島",2004,27.6,5.1
"茨城",2004,24,4.2
"栃木",2004,22.5,4.1
"群馬",2004,24.7,4
"埼玉",2004,20.6,4.8
"千葉",2004,20.6,4.1
"東京",2004,22.1,5
"神奈川",2004,19.9,4.3
"新潟",2004,31.4,4
"富山",2004,27.3,3.5
"石川",2004,23,3.5
"福井",2004,22.6,3
"山梨",2004,24.7,3.7
"長野",2004,23.5,3.1
"岐阜",2004,24.9,3.3
"静岡",2004,20.5,3.3
"愛知",2004,20.3,3.5
"三重",2004,21.1,3.4
"滋賀",2004,20,4.1
"京都",2004,21.2,4.7
"大阪",2004,23,6.4
"兵庫",2004,23.4,5.5
"奈良",2004,21.3,4.6
"和歌山",2004,25.4,3.9
"鳥取",2004,26.7,3.7
"島根",2004,32,3
"岡山",2004,19,4.3
"広島",2004,22.4,4.2
"山口",2004,24.4,4
"徳島",2004,19.4,4.7
"香川",2004,19.7,4.1
"愛媛",2004,23.8,4.4
"高知",2004,32,5.4
"福岡",2004,26.4,6.3
"佐賀",2004,27.3,4.3
"長崎",2004,25.7,4.9
"熊本",2004,25,4.8
"大分",2004,26.6,4.2
"宮崎",2004,31.8,4.9
"鹿児島",2004,28.1,4.7
"沖縄",2004,23.5,7.6
"北海道",2005,27.3,5.3
"青森",2005,36.8,6
"岩手",2005,34.1,4.7
"宮城",2005,26.9,5
"秋田",2005,39.1,4.8
"山形",2005,31.1,3.8
"福島",2005,29.1,4.8
"茨城",2005,23.7,3.9
"栃木",2005,24.9,3.8
"群馬",2005,25.3,3.5
"埼玉",2005,22.4,4.5
"千葉",2005,22,3.9
"東京",2005,21.7,4.7
"神奈川",2005,19.7,3.9
"新潟",2005,29.7,3.7
"富山",2005,30.7,3.1
"石川",2005,22.7,3.1
"福井",2005,23.4,2.7
"山梨",2005,26.9,3.4
"長野",2005,25.4,3.2
"岐阜",2005,25.4,2.8
"静岡",2005,21.9,3.1
"愛知",2005,20.6,3.4
"三重",2005,20,3
"滋賀",2005,22.2,4
"京都",2005,21,4.5
"大阪",2005,24,6
"兵庫",2005,23.3,5
"奈良",2005,20.5,4.2
"和歌山",2005,25.9,3.9
"鳥取",2005,24.4,4
"島根",2005,27.8,2.3
"岡山",2005,21.5,3.8
"広島",2005,21.9,3.7
"山口",2005,26.1,3.5
"徳島",2005,20,3.8
"香川",2005,20,3.7
"愛媛",2005,25.4,4.1
"高知",2005,29.7,4.9
"福岡",2005,24.6,5.9
"佐賀",2005,25,3.8
"長崎",2005,29.3,4.7
"熊本",2005,24.4,4.6
"大分",2005,24.3,4.1
"宮崎",2005,30.6,4.1
"鹿児島",2005,26.2,4.7
"沖縄",2005,24.2,7.9
"北海道",2006,26.4,5.4
"青森",2006,31.1,5.8
"岩手",2006,34.1,4.3
"宮城",2006,25.7,5
"秋田",2006,42.7,4.8
"山形",2006,31.7,3.1
"福島",2006,29.9,4.5
"茨城",2006,24.9,3.7
"栃木",2006,24.8,3.6
"群馬",2006,25.3,3.3
"埼玉",2006,20.8,3.9
"千葉",2006,21.5,3.6
"東京",2006,20.2,4.2
"神奈川",2006,19.3,3.8
"新潟",2006,30.6,3.6
"富山",2006,26.7,3
"石川",2006,22.8,3.2
"福井",2006,22.4,2.5
"山梨",2006,28.6,3
"長野",2006,22.8,3
"岐阜",2006,22.8,2.6
"静岡",2006,21.2,2.8
"愛知",2006,20.4,2.8
"三重",2006,21.7,2.7
"滋賀",2006,20.3,2.9
"京都",2006,20.2,4.4
"大阪",2006,22.7,5.7
"兵庫",2006,22.2,4.6
"奈良",2006,18.1,4.1
"和歌山",2006,24.8,3.8
"鳥取",2006,24.7,3.7
"島根",2006,31.7,2.8
"岡山",2006,19,3.4
"広島",2006,22.9,3.4
"山口",2006,25.6,3
"徳島",2006,19,3.5
"香川",2006,22.1,3.5
"愛媛",2006,26.5,3.7
"高知",2006,27.6,4.7
"福岡",2006,25.7,5.6
"佐賀",2006,27.1,3.4
"長崎",2006,27,4.4
"熊本",2006,27.4,4.5
"大分",2006,24.9,4
"宮崎",2006,31.6,4
"鹿児島",2006,29.2,4.4
"沖縄",2006,27.5,7.6
"北海道",2007,26.3,5.1
"青森",2007,33.4,5.6
"岩手",2007,32.2,4.1
"宮城",2007,26.2,4.8
"秋田",2007,37.6,4.5
"山形",2007,27.9,2.9
"福島",2007,28.6,4.3
"茨城",2007,26.3,3.5
"栃木",2007,26.6,3.3
"群馬",2007,26.6,2.9
"埼玉",2007,22.6,3.5
"千葉",2007,21.5,3.3
"東京",2007,22.6,3.9
"神奈川",2007,20.8,3.8
"新潟",2007,32,3.6
"富山",2007,25.3,3
"石川",2007,22.1,3.2
"福井",2007,21.9,2.7
"山梨",2007,26.1,3
"長野",2007,22.9,2.8
"岐阜",2007,21.7,2.2
"静岡",2007,21.6,2.6
"愛知",2007,19.7,2.7
"三重",2007,20.1,2.5
"滋賀",2007,21.3,2.6
"京都",2007,22.8,3.9
"大阪",2007,25.5,5.3
"兵庫",2007,24.1,4
"奈良",2007,18,3.7
"和歌山",2007,25.4,3.2
"鳥取",2007,26.5,3.8
"島根",2007,32.1,2.4
"岡山",2007,21.9,3.4
"広島",2007,24.1,3.3
"山口",2007,26.9,2.9
"徳島",2007,20.6,3.8
"香川",2007,22.9,3.5
"愛媛",2007,27.1,3.9
"高知",2007,31.5,5
"福岡",2007,24.7,5
"佐賀",2007,25.5,2.5
"長崎",2007,25.3,3.9
"熊本",2007,25.9,4.1
"大分",2007,25.3,3.7
"宮崎",2007,34.6,3.7
"鹿児島",2007,29.2,4.1
"沖縄",2007,23.4,7.4
"北海道",2008,28,5
"青森",2008,34.1,5.9
"岩手",2008,33.7,4.2
"宮城",2008,27.9,4.9
"秋田",2008,37.1,4.7
"山形",2008,28.8,3.4
"福島",2008,26.2,4.4
"茨城",2008,23,3.9
"栃木",2008,26.8,3.8
"群馬",2008,25.6,3.5
"埼玉",2008,23.4,3.7
"千葉",2008,20.8,3.5
"東京",2008,22.1,3.9
"神奈川",2008,21.3,3.8
"新潟",2008,27.9,3.7
"富山",2008,27.2,3.1
"石川",2008,20.6,3.2
"福井",2008,25.7,2.7
"山梨",2008,25.4,3.4
"長野",2008,25.2,3
"岐阜",2008,22.7,3
"静岡",2008,21,3
"愛知",2008,20,2.9
"三重",2008,20.7,2.9
"滋賀",2008,22.7,3
"京都",2008,21.1,4.2
"大阪",2008,23.5,5.3
"兵庫",2008,22.3,4.2
"奈良",2008,20.8,3.7
"和歌山",2008,29.1,3.4
"鳥取",2008,31,4.2
"島根",2008,29.9,3.2
"岡山",2008,19.7,3.9
"広島",2008,22.3,3.6
"山口",2008,23.8,3.2
"徳島",2008,22,4.1
"香川",2008,20.2,3.8
"愛媛",2008,25.6,4.1
"高知",2008,26.1,4.8
"福岡",2008,24.5,5
"佐賀",2008,20.4,2.9
"長崎",2008,25.9,3.9
"熊本",2008,24.7,4.2
"大分",2008,23.4,3.7
"宮崎",2008,32.1,3.7
"鹿児島",2008,28,4.1
"沖縄",2008,24,7.4
"北海道",2009,26.2,5.5
"青森",2009,34.6,6.8
"岩手",2009,34.4,5.7
"宮城",2009,24.8,6.3
"秋田",2009,38.1,5.4
"山形",2009,27.4,4.8
"福島",2009,29.1,5.5
"茨城",2009,25,4.8
"栃木",2009,27.8,4.7
"群馬",2009,27.3,4.7
"埼玉",2009,24.4,4.9
"千葉",2009,21.9,4.5
"東京",2009,22.7,4.7
"神奈川",2009,21.6,5
"新潟",2009,30,4.5
"富山",2009,27.1,4
"石川",2009,22,4.3
"福井",2009,23.9,3.5
"山梨",2009,26,4.1
"長野",2009,24.7,4.1
